"12,419",TOTAL HH,"66,756",TOTAL IND,,,,,,,,,,,,,,,,,SITE MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,PLACE OF ORIGIN,,,,,,,,DEMOGRAPHICS,,,,,,,,,,,,,,SPECIAL NEEDS,,,,,,,,MOBILITY,,,,,,,,SHELTER / NFIs,,,,,,,,,,,,,,,,WASH,,,,,,,,,,,,,,,,,,,FOOD AND NUTRITION,,,,,,,HEALTH,,,,,,,,,,,,EDUCATION,,,,,LIVELIHOOD,,,,,,,,,PROTECTION,,,,,,,,,,,,,,,,,,,,COMMUNICATION,,,,,,,Other
NEPAL DTM - Round 2 Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.c.1 Site ID (SSID),1.1.d.1 Site Name,1.1.a.2 Survey Round,1.1.a.1 Survey date (DD.MM.YYYY),1.1.e.2 Zone,1.1.e.3District,1.1.e.4 VDC,1.1.f.2 Site GPS Latitude,1.1.f.1 Site GPS Longitude,1.4.a.2 Site open?,1.4.c.1 Closing Date (DD.MM.YYYY),1.3.a.1 Site Classification,1.3.b.1 Site Type,"If other, please specify",1.4.a.1 Site start/open date (DD.MM.YYYY),1.4.b.1 Site Expected Closing Date,1.1.i.1 Accessibility to site,1.3.d.1 Ownership of land of site,1.3.c.1 What is the most common type of shelter,"If other or No Answer, please specify",1.2.b.1 Is there a Site Management Committee (SMC) at the site?,1.2.b.10 % of women participating in the Site Management Committee (SMC),1.2.b.2 Is the site management committee (SMC) made up from the community at the site?,1.2.b.7 SMC member name or focal point at site,1.2.b.8 SMC member phone number,1.2.c.1 Is there a Site Management Agency (SMA) at the site?,1.2.c.2 Type of SMA,"If other, Specify.",1.2.c.3 Name of SMA,1.2.c.4 SMA member name or focal point at site,1.2.c.5 SMA member phone number,1.2.a.1 Is there any registration activity/IDP List Maintained,1.2.n.1 Is WASH support being provided at the site ?,If yes who provides the service?,1.2.o.1 Is HEALTH support being provided at the site,If yes who provides the service?,1.2.p.1 Is SHELTER/NFI support provided at the site ?,If yes who provides the service?,1.2.q.1 Is FOOD support provided at the site ?,If yes who provides the service?,1.2.r.1 Is PROTECTION support provided at the site ?,If yes who provides the service?,1.2.s.1 Is EDUCATION support provided at the site ?,If yes who provides the service?,1.2.t.1 Is LIVELIHOOD support being provided at the site?,If yes who provides the service?,1.5.b.2 Place of Origin of the largest IDP group in camp (Zone),1.5.b.2 Place of Origin of the largest IDP group in camp (District),1.5.b.2 Place of Origin of the largest IDP group in camp (VDC),1.5.b.2 Place of Origin of the largest IDP group in camp (Ward),1.5.c.2 Place of Origin of the second largest IDP group (Zone),1.5.c.2 Place of Origin of the second largest IDP group District),1.5.c.2 Place of Origin of the second largest IDP group (VDC),1.5.c.2 Place of Origin of the second largest IDP group (Ward),2.1.a.1 Total Number of IDP Families/HHs,2.1.c.1 Number of Males by age: <1 year,2.1.c.1 Number of Males by age: 1-5 year,2.1.c.1 Number of Males by age: 6-17 year,2.1.c.1 Number of Males by age: 18-59 year,2.1.c.1 Number of Males by age: 60+ year,2.1.b.2 Total number of IDP Male Individuals,2.1.d.1 Number of Females by age: <1 year,2.1.d.1 Number of Females by age: 1-5 year,2.1.d.1 Number of Females by age: 6-17 year,2.1.d.1 Number of Females by age: 18-59 year,2.1.d.1 Number of Females by age: 60+ year,2.1.b.2 Total number of IDP Female Individuals,2.1.b.2 Total number of IDP,2.2.c.1 Number of pregnant women,2.2.d.1 Number of breastfeeding mothers,2.2.g.1 Number of persons with Disabilities,2.2.f.1 Number of Persons with Chronic Diseases or Serious Medical Conditions,2.2.n.1 Number of single female-headed households,2.2.p.1 Number of child-headed households,2.2.x.3 Number of elderly-headed households,2.2.u.1 Number of members of marginalized caste/ethnicity,2.3.c.1 Date of arrival of first IDP group,2.3.c.2 Date of arrival of last IDP group,2.3.e.1 Area of intended return for largest IDP group,2.3.b.4 Have IDPs previously been displaced,2.3.e.7 What is preventing the largest IDP group from returning home?,"If other, please specify",2.3.g.1 Estimated % of IDPs sleeping in the site,2.3.f.1 Is there relocation plan for the IDPs?,3.1.a.1 Percentage of HH living outside (no shelter),3.1.b.1 Percentage of HH living in tents,3.1.c.1 Percentage of HH living in makeshift shelters,3.1.d.1 Percentage of HH living indoors (solid walls),3.2.a.1 Percentage of HH with access to electricity,3.2.b.1 Percentage of HH with access to safe cooking facilities,3.2.c.1 Percentage of HH with private living area,3.7.c.2 Percentage of HH with mosquito nets,3.7.j.1 Most needed type of NFI,"If other or No Answer, please specify",3.7.j.2 Second most needed type of NFI,"If other or No Answer, please specify",3.7.j.3 Third most needed type of NFI,"If other or No Answer, please specify",3.8.b.1 Is there a need for shelter repair materials,3.8.b.1 Is there a need for tools for shelter construction?,"4.1.a.1 Location of site's main water source (walking, one-way)",4.1.b.1 Main non-drinking water source provided or available,"If other, please specify",4.1.f.1 What is the main drinking water source provided or available,"If other, please specify",4.2.a.1 Average amount of water available per day and per person,4.3.e.1 What is the main problem with the water?,"If other, please specify",4.4.j.1 Condition of most of the latrines,4.4.a.1 Number of functioning toilets available on-site,4.8.b.1 Do toilets and bathrooms have locks from the inside,4.1.g.1 Is the drinking water potable ?,4.4.b.1 Availability of separate male and female toilets,4.5.b.1 Availability of separate male and female bathing areas,4.6.a.1 Garbage Disposal Type,"If other, please specify",4.4.n.1 Evidence of open defecation?,4.7.g.1 Availability of hand-washing station filled in with water and soap close to the toilets?,4.7.g.2 Evidence of hand-washing practices?,"5.1.a.1 Is there access to food (distribution, vouchers, trade, fishing€)",5.1.e.1 Is there access to a market near from the site?,5.1.d.1 Most common source for obtaining food,"If other, please specify","6.1.a.1 Screening for malnutrition conducted in the area? (i.e. weight, height, mid-upper arm circumference screening)",6.1.b.1 Availability of supplementary feeding for pregnant and lactating mothers,6.1.c.1 Availability of supplementary feeding for children,7.1.b.1 What is the most prevalent health problem at the site,"If other, please specify",7.1.b.2 What is the second most prevalent health problem at the site,"If other, please specify",7.1.b.3 What is the third most prevalent health problem at the site,"If other, please specify",7.2.a.1 Access to health facilities,7.2.a.4 Do most women utilize health facilities?,7.2.b.1 Location of health facilities/services,7.2.c.2 Who provides health facilities/services,"If other, please specify",7.2.a.3 Regular access to medicine,8.1.b.1 Access to formal/informal education services for children from displaced HHs,8.2.b.1 Distance to nearest education facility,"8.3.a.2 Of children in site attending school, what % are girls?","8.3.a.2 Of children in site attending school, what % are boys?",8.2.a.1 Location of formal/informal education facilities/services for children from displaced HHs,9.1.a.1 Occupation/trade of majority of displaced households (coping mechanism),"If other, please specify",9.2.h.1 Percentage of HH in the site with a source of income,9.2.i.1 Access to income generating activities,9.2.k.1 Do the majority of HHs in the site receive remittances?,9.3.a.2 Is there livestock on site,9.1.c.1 Do IDPs have access to land for cultivation?,"11.3.b.1 Do any recruiters come to the site for day labour, domestic work or working abroad?","11.3.a.2 if yes, to which city/country",10.1.a.2 Is there security on-site/settlement areas,10.1.e.1 Are security incidents reported in the site,10.1.b.1 Who provides main security in the site,"If other, please specify",10.2.g.1 Most common type of security incidents reported/known occurring in the settlement area,"If others, please specify",10.2.g.5 Are security incidents commonly reported in the community before the earthquake?,10.2.i.4 Most reported problem in receiving support,"If other, please specify",10.1.c.1 Number of children friendly spaces,10.1.d.1 Number of women friendly spaces,10.1.f.1 Do the majority of people have identification card or other documentation?,10.2.j.2 Reporting/referral mechanism for GBV survivors,10.2.t.2 Are women segregated during menstruation?,"If yes, where do they go?",10.2.t.1 Are there issues of discrimination towards minority groups?,10.3.a.1 Do men feel safe in site?,10.3.a.2 Do children feel safe in site,10.3.a.3 Do women feel safe at the site,"10.1.s.1 Is there adequate lighting in the majority of communal point (WASH facilities, public spaces€)",11.1.a.1 Where do residents mostly get their information from?,"If other, please specify",11.2.c.1 Are complaints being reported?,"11.2.c.2 If yes, to whom?",11.1.c.1 What is the main topic on which the community is requesting information on?,"If other, please specify",11.1.h.1 Is everyone aware that donations do not need to be exchanged for anything?,Site classification
1,Tribhuwan University,2,21/05/2015,Bagmati,Kathmandu, Kathmandu Metropolitan ,27.6811,85.2906,Yes,,Pre identified site / Open Space,Collective Settlement / Centre,,25/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,No,,,,,No,,,,,,No,No,,No,,No,,No,,No,,No,,No,,Bagmati,Kathmandu,Kathmandu Metropolitan,,Bagmati,Kathmandu,Kirtipur Municipality,,37,21,0,64,143,43,271,0,12,12,123,32,179,450,0,2,0,0,0,0,0,0,25/04/2015,25/04/2015,Place of origin,No,House damaged / destroyed,,Unknown,No,< 75%,< 25%,Unknown,None,Unknown,< 25%,Unknown,Unknown,Mosquito nets,,Blankets,,Kitchen sets,,No,No,Off-site (>20 minutes),None,,None,,Unknown,None,,No latrines,0,No,No,No,No,No waste disposal,,No,None,No,"Yes, off-site",Yes,Cultivated,,No,No,Yes,None,,None,,None,,Unknown,,Unknown,Unknown,,No,No,Unknown,,,,None,,0.00%,No,No,No,No,Unknown,,Yes,Unknown,Self organized,,None,,No,Assistance did not respond,,0,0,No,No,Unknown,,Unknown,Yes,Yes,Yes,Unknown,Radio / News,,No,,Recovery plans,,No,Site
2,Balambu,2,21/05/2015,Bagmati,Kathmandu,,27.4121,85.1436,Yes,,Pre identified site / Open Space,Host Community,,25/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,Yes,<25%,No,,,Yes,Government,,,,,Yes,No,,No,,Yes,Government,Yes,Vdc,No,,No,,No,,Bagmati,Kathmandu,Balambu,17,,,,,30,0,10,44,50,0,104,7,0,19,70,0,96,200,4,9,0,0,0,0,0,0,25/04/2015,19/05/2015,Place of origin,Yes,House damaged / destroyed,,Unknown,Yes,None,More than 75%,< 25%,None,None,More than 75%,None,None,Mosquito nets,,None,,None,,Yes,Yes,On-site (<20 minutes),Spring,,Spring,,Unknown,None,,Non usable,3,No,Yes,No,No,No waste disposal,,Yes,Unknown,No,"Yes, off-site",Yes,Cash,,No,No,No,None,,None,,None,,Yes,Unknown,On-site (<3 km),Government,,Yes,No,Unknown,,,,Agro-pastoralism,,0.00%,No,No,No,Yes,No,,Yes,No,Self organized,,None,,,Not enough assistance for all entitled,,0,0,No,Unknown,No,,No,Yes,Yes,Yes,No lighting,Site management,,No,,Other relief assistance,,Unknown,Site
4,Ratna Park,2,30/04/2015,Bagmati,Kathmandu, Kathmandu Metropolitan ,27.7029,85.3152,Yes,,Pre identified site / Open Space,Transitional Centre,,29/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,No,,,,,No,,,,,,No,No,,No,,No,,No,,No,,No,,Yes,NGO,Bagmati,Kathmandu,Kathmandu Metropolitan,,Bagmati,Kathmandu,Kathmandu Metropolitan,,33,1,1,10,34,8,54,1,5,8,34,10,58,112,0,0,0,0,0,0,0,0,29/04/2015,13/05/2015,Place of origin,No,Accessibility,,< 75%,No,< 50%,More than 75%,< 50%,More than 75%,< 50%,More than 75%,More than 75%,Unknown,Mosquito nets,,Mosquito nets,,Mosquito nets,,Yes,No,On-site (>20 minutes),Piped water supply,,None,,10-15 liters,None,,Good,2,Yes,No,Yes,No,No waste disposal,,Yes,None,No,"Yes, off-site",Yes,Distribution,,Yes,No,Unknown,Malaria,,Diarrhea,,None,,Yes,No female doctors,None,NGOs,,Yes,Yes,On-site (>20 minutes),<75%,<75%,None,Agro-pastoralism,,50.00%,Yes,No,Yes,No,No,,No,No,,,,,No,Unknown,,2,1,No,No,No,,No,No,No,No,"Yes, there is lighting but it is not adequate",Local leader,,Unknown,,Distribution,,No,Site
5,Dasrath stadium,2,21/05/2015,Bagmati,Kathmandu, Kathmandu Metropolitan ,27.695,85.315,Yes,,Pre identified site / Open Space,Host Community,,25/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,No,,,,,Yes,Armed Forces,,Signal directorate,Signal directorate,,No,Yes,Municipalities,Yes,Army,Yes,"NRC, Save, LWF, China Government, Nepal Army",No,,Yes,Nepal army,Yes,ICRI Day care facility,No,,Bagmati,Kathmandu,Kathmandu Metropolitan,,Bagmati,Kathmandu,Kathmandu Metropolitan,,130,0,2,5,9,0,16,0,1,2,13,0,16,650,0,10,0,0,1,0,25,0,12/5/15,19/05/2015,Place of origin,Unknown,Basic infrastructures damage,,> 75%,Unknown,None,More than 75%,< 25%,None,None,< 75%,More than 75%,None,None,,Other,,None,,No,No,On-site (<20 minutes),Water truck,,Bottled water,,<5 liters,None,,Good,2,Yes,Yes,Yes,No,Garbage pit,,No,Unknown,No,No,Yes,Distribution,,No,No,No,None,,None,,None,,Yes,No female doctors,On-site (<3 km),Government,,Unknown,No,Unknown,,,,Unknown,,0.00%,No,No,No,No,No,,Yes,No,Military,,,,No,Not enough assistance for all entitled,,2,0,No,Unknown,Unknown,,Yes,Yes,Yes,Yes,"Yes, there is lighting and it is adequate",Radio / News,,Yes,,None,,Unknown,Priority site
7,Narayanchour,2,25/04/2015,Bagmati,Kathmandu, Kathmandu Metropolitan ,27.7147,85.3256,Yes,,Pre identified site / Open Space,Transitional Centre,,13/05/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,Yes,<25%,Yes,,,Yes,Armed Forces,,,,,Yes,No,,Yes,Nadal medical team,Yes,NGO,No,,Yes,Armed force,No,,No,,Bagmati,Kathmandu,Kathmandu Metropolitan,"Nadal , Jamalpokhari , bhatbhateni",Bagmati,Kathmandu,Kathmandu Metropolitan,,188,4,18,36,114,16,188,12,22,40,114,12,200,388,2,8,10,0,5,0,5,0,28/04/2015,13/05/2015,Nearest village,Unknown,House damaged / destroyed,,> 75%,No,None,More than 75%,None,None,None,< 25%,More than 75%,<25%,Mosquito nets,,None,,Mosquito nets,,No,No,Off-site (>20 minutes),None,,None,,>15 liters,None,,Good,0,Yes,Yes,Yes,No,Garbage pit,,No,Yes,Yes,No,Yes,Cash,,No,No,Yes,None,,None,,None,,No,,Unknown,Unknown,,No,No,Unknown,,,,Other,One private jobs,100.00%,No,No,No,No,No,,Yes,No,Police,,,,No,None,,1,1,Yes,Yes,No,,No,Yes,Yes,Yes,"Yes, there is lighting and it is adequate",Social media,,No,,Situation in areas of origin,,Yes,Site
10,Halchowk (APF HQ),2,25/04/2015,Bagmati,Kathmandu,,27.721417,85.286753,Yes,,Spontaneous,Host Community,,25/04/2015,Unknown,No physical access,Public / Government,Tents / Temporary shelter,,No,,,,,No,,,,,,Yes,Yes,Police,Yes,Police,Yes,Police,Yes,Police,Yes,Police,Yes,Police,Yes,Police,Bagmati,Sindhupalchok,Tatopani,,Bagmati,Kathmandu,Kathmandu Metropolitan,Kathmadnu,136,16,16,16,30,48,126,96,200,272,16,32,616,750,1,7,2,0,0,0,0,0,2/5/15,25/05/2015,"Other, in the country",No,House damaged / destroyed,,< 75%,No,None,< 75%,< 75%,< 75%,< 75%,< 75%,< 50%,None,Kitchen sets,,Mosquito nets,,None,,No,No,On-site (>20 minutes),Water truck,,Water truck,,>15 liters,None,,Good,8,No,No,Yes,No,Garbage pit,,No,Unknown,Yes,"Yes, on-site",Yes,Cultivated,,No,Yes,Yes,None,,cholera,,None,,Yes,Yes,On-site (>3 km),Other,Armed Police Force,Yes,No,Unknown,,,,None,,0.00%,No,No,Yes,No,Unknown,,Yes,Unknown,Other,Armed Police Force,,,Unknown,None,,0,0,Yes,Yes,Yes,Toilet,No,Yes,Yes,Yes,"Yes, there is lighting and it is adequate",Families & friends,,No,,Recovery plans,,No,Site
11,Airport Golf 1,2,21/05/2015,Bagmati,Kathmandu,,27.7028,85.3542,Yes,,Pre identified site / Open Space,Collective Settlement / Centre,,25/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,No,,,,,Yes,Individual / Private,,,,,Yes,Yes,Self,No,,Yes,Self,No,,No,,No,,No,,Bagmati,Kathmandu,Kathmandu Metropolitan,8,,,,,156,16,23,47,391,31,508,23,16,86,446,86,657,1165,5,5,4,3,5,1,3,117,25/04/2015,20/05/2015,Place of origin,No,House damaged / destroyed,,> 75%,No,None,< 25%,More than 75%,None,More than 75%,< 25%,None,None,Plastic sheeting,,Blankets,,Mosquito nets,,No,No,On-site (<20 minutes),Water truck,,Piped water supply,,5-10 liters,Other,Oily water,Not so good,3,No,No,No,No,Other,Managed by the municipality.,No,None,No,No,Yes,Cash,,No,No,No,None,,None,,None,,Yes,Yes,Off-site (<3 km),Local clinic,,Yes,No,Unknown,,,,Other,Driving,90.00%,Yes,No,No,No,No,,No,Yes,,,Others,Verbal abuse to Madhesi,No,Not enough assistance for all entitled,,2,0,No,No,No,,No,Yes,Unknown,Unknown,"Yes, there is lighting and it is adequate",Mobile phone,,No,,Shelter,,Yes,Site
13,Hyatt Regency Hotel,2,21/05/2015,Bagmati,Kathmandu, Kathmandu Metropolitan ,27.7201,85.3541,Yes,,Planned,Collective Settlement / Centre,,25/04/2015,Unknown,Yes,Private,Tents / Temporary shelter,,No,,,,,No,,,,,,No,Yes,Hyatt hotel,No,,No,,No,,Yes,Hyatt hotel,No,,No,,Janakpur,Dolakha,,,Sagarmatha,Solukhumbu,,,192,0,0,8,413,29,450,0,38,163,365,38,604,1054,0,2,1,0,1,0,0,140,25/04/2015,25/04/2015,Habitual resident,No,House damaged / destroyed,,> 75%,No,None,< 25%,More than 75%,Unknown,More than 75%,More than 75%,< 75%,None,Plastic sheeting,,Mosquito nets,,None,,Unknown,Unknown,On-site (<20 minutes),Piped water supply,,Bottled water,,>15 liters,None,,No latrines,0,No,Yes,No,No,Other,Hotel management,No,None,No,"Yes, off-site",Yes,Cash,,No,No,No,None,,None,,None,,Yes,Yes,Off-site (>3 km),Local clinic,,Yes,No,Unknown,,,,Employed,,10.00%,No,No,No,No,No,,Yes,Yes,Other,Hyatt staff,Alcohol / Drug-related disturb,,Unknown,None,,0,0,No,No,No,,No,Yes,Yes,Yes,"Yes, there is lighting and it is adequate",Families & friends,,No,,Distribution,,Yes,Site
14,Gokarna Golf Club Site,2,21/05/2015,Bagmati,Kathmandu, Gokarneshwar ,27.7272,85.3953,Yes,,Pre identified site / Open Space,Collective Settlement / Centre,,13/01/2015,Unknown,Yes,Private,Tents / Temporary shelter,,No,,,,,No,,,,,,Yes,Yes,Rented homes,No,,No,,No,,Yes,Army,No,,No,,Narayani,Makwanpur,Hetauda Municipality,Na,Bagmati,Sindhupalchok,Chautara,Na,38,2,7,21,42,4,76,4,6,30,41,6,87,163,2,0,4,0,1,0,1,80,25/04/2015,18/05/2015,Habitual resident,No,Lack of safety,,> 75%,No,None,None,< 75%,None,None,None,None,None,Plastic sheeting,,Blankets,,Other,Matress,No,No,On-site (<20 minutes),Surface water,,Surface water,,5-10 liters,suspended solids,,No latrines,0,No,No,No,No,Other,Municipality,Yes,None,No,No,Yes,Cash,,No,No,No,None,,None,,None,,Yes,Yes,On-site (<3 km),Other,Private hospital,Yes,No,Unknown,,,,Employed,,75.00%,No,No,No,No,No,,Yes,Yes,Military,,Theft,,Unknown,Fighting between recipients,,0,0,No,No,No,,No,Yes,Yes,Yes,No lighting,Families & friends,,No,,Shelter,,Unknown,Site
15,Balmiki Vidyapith,2,21/05/2015,Bagmati,Kathmandu, Kathmandu Metropolitan ,27.7025,85.3207,Yes,,Pre identified site / Open Space,Transitional Centre,,25/04/2015,Unknown,Yes,Public / Government,Tents / Temporary shelter,,No,,,,,No,,,,,,Unknown,No,,No,,No,,No,,Unknown,,No,,No,,Bagmati,Kathmandu,Kathmandu Metropolitan,31,Bagmati,Kathmandu,Kathmandu Metropolitan,Ward no.31,20,1,1,10,66,0,78,0,2,5,30,0,37,115,0,0,0,0,0,0,0,0,25/04/2015,12/5/15,Place of origin,No,House damaged / destroyed,,> 75%,No,None,< 75%,Unknown,Unknown,None,< 50%,Unknown,None,Plastic sheeting,,None,,None,,Unknown,Unknown,Unknown,Other,Self,Other,Self,Unknown,None,,No latrines,0,No,Yes,No,No,Burning,,No,Unknown,No,"Yes, on-site",Yes,Cultivated,,No,No,Unknown,None,,None,,None,,Unknown,,Unknown,Unknown,,No,Unknown,Unknown,,,,Unknown,,0.00%,No,No,No,No,Unknown,,No,No,,,,,No,None,,0,0,No,No,No,,Unknown,Yes,Yes,Yes,No lighting,None,,Unknown,,Unknown,,Unknown,Site
