"","ssid","site_name","survey_round","survey_date","zone","district","vdc","lat","lon","idp_origin_zone","idp_origin_district","idp_origin_vdc","idp_origin_ward","idp2_origin_zone","idp2_origin_district","idp2_origin_vdc","idp2_origin_ward","idp_hh"
"4","2","Balambu","2","21/05/2015","Bagmati","Kathmandu","","27.4121","85.1436","Bagmati","Kathmandu","Balambu","17","","","","",30
"5","4","Ratna Park","2","30/04/2015","Bagmati","Kathmandu"," Kathmandu Metropolitan ","27.7029","85.3152","Bagmati","Kathmandu","Kathmandu Metropolitan","","Bagmati","Kathmandu","Kathmandu Metropolitan","",33
"6","5","Dasrath stadium","2","21/05/2015","Bagmati","Kathmandu"," Kathmandu Metropolitan ","27.695","85.315","Bagmati","Kathmandu","Kathmandu Metropolitan","","Bagmati","Kathmandu","Kathmandu Metropolitan","",130
"7","7","Narayanchour","2","25/04/2015","Bagmati","Kathmandu"," Kathmandu Metropolitan ","27.7147","85.3256","Bagmati","Kathmandu","Kathmandu Metropolitan","Nadal , Jamalpokhari , bhatbhateni","Bagmati","Kathmandu","Kathmandu Metropolitan","",188
"8","10","Halchowk (APF HQ)","2","25/04/2015","Bagmati","Kathmandu","","27.721417","85.286753","Bagmati","Sindhupalchok","Tatopani","","Bagmati","Kathmandu","Kathmandu Metropolitan","Kathmadnu",136
"9","11","Airport Golf 1","2","21/05/2015","Bagmati","Kathmandu","","27.7028","85.3542","Bagmati","Kathmandu","Kathmandu Metropolitan","8","","","","",156
"10","13","Hyatt Regency Hotel","2","21/05/2015","Bagmati","Kathmandu"," Kathmandu Metropolitan ","27.7201","85.3541","Janakpur","Dolakha","","","Sagarmatha","Solukhumbu","","",192
"11","14","Gokarna Golf Club Site","2","21/05/2015","Bagmati","Kathmandu"," Gokarneshwar ","27.7272","85.3953","Narayani","Makwanpur","Hetauda Municipality","Na","Bagmati","Sindhupalchok","Chautara","Na",38
"12","15","Balmiki Vidyapith","2","21/05/2015","Bagmati","Kathmandu"," Kathmandu Metropolitan ","27.7025","85.3207","Bagmati","Kathmandu","Kathmandu Metropolitan","31","Bagmati","Kathmandu","Kathmandu Metropolitan","Ward no.31",20
"13","16","National Academy","2","21/05/2015","Bagmati","Kathmandu"," Kathmandu Metropolitan ","27.7089","85.3208","Bagmati","Kathmandu","","","","","","",15
"14","17","Election Commision Office","2","22/05/2015","Bagmati","Kathmandu"," Kathmandu Metropolitan ","27.7121","85.3145","Bagmati","Kathmandu","Kathmandu Metropolitan","Kathmandu Metropolitan","Bagmati","Kathmandu","Kathmandu Metropolitan","29",97
"15","18","Social Welfare Council","2","21/05/2015","Bagmati","Kathmandu"," Kathmandu Metropolitan ","27.7166","85.3153","Bagmati","Kathmandu","Kathmandu Metropolitan","27","Bagmati","Kathmandu","Kathmandu Metropolitan","Na",91
"16","20","Sallaghari Tinkune","2","21/05/2015","Bagmati","Bhaktapur","Katunje","27.6732","85.4073","Bagmati","Sindhupalchok","Gati","8,9","Bagmati","Sindhupalchok","Mangkha","1",20
"17","21","Padma High School","2","25/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.6721","85.4284","Bagmati","Bhaktapur","Bhaktapur Municipality","","Bagmati","Bhaktapur","Bhaktapur Municipality","",75
"18","22","Kamal Binayak (Sarswoti English School)","2","23/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.6756","85.4367","Bagmati","Bhaktapur","Bhaktapur Municipality","1,2,3,4","","","","",180
"19","23","Adarsa Azad Higher Secondary School","2","22/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.6677","85.432","Bagmati","Bhaktapur","Bhaktapur Municipality","","","","","",22
"20","24","Basu School","2","21/05/2015","Bagmati","Bhaktapur","Jhaukhel","27.6784","85.4293","Bagmati","Bhaktapur","Bhaktapur Municipality","10","","","","",7
"21","25","Bhaktapur Bahumukhi Campus","2","22/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.67","85.4217","Bagmati","Bhaktapur","Bhaktapur Municipality","15,16,17","","","","",30
"22","26","Bhelukhel","2","22/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.669","85.4302","Bagmati","Bhaktapur","Bhaktapur Municipality","11/12/15","Bagmati","Sindhupalchok","","",50
"23","29","Khwopa College","2","24/05/2015","Bagmati","Bhaktapur","Jhaukhel","27.6775","85.4324","Bagmati","Bhaktapur","Bhaktapur Municipality","5,9,10","Bagmati","Bhaktapur","Bhaktapur Municipality","5",90
"24","30","Khwopa Engineering College","2","22/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.6709","85.4398","Bagmati","Bhaktapur","Bhaktapur Municipality","6 ,5","","","","",90
"25","32","Maheshwori Football Ground","2","24/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.6699","85.4361","Bagmati","Bhaktapur","Bhaktapur Municipality","6,2,7,","Bagmati","Bhaktapur","Bhaktapur Municipality","8",300
"26","33","Nasamana","2","24/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.6706","85.4273","Bagmati","Bhaktapur","Bhaktapur Municipality","13","Bagmati","Bhaktapur","Bhaktapur Municipality","12",14
"27","34","Suryamadi","2","24/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.6734","85.4375","Bagmati","Bhaktapur","Bhaktapur Municipality","1,3","","","","",70
"28","35","Pottery Square","2","22/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.6699","85.4279","Bagmati","Bhaktapur","Bhaktapur Municipality","12","","","","",25
"29","37","Vidyarthi Niketan","2","24/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.6722","85.4297","Bagmati","Bhaktapur","Bhaktapur Municipality","8.11","","","","",72
"30","38","Saraswati Vidyagriha","2","22/05/2015","Bagmati","Bhaktapur","Bhaktapur Municipality","27.6756","85.4368","Bagmati","Bhaktapur","Bhaktapur Municipality","15,17","","","","",90
"31","40","Lagankhel Football Ground ","2","25/05/2015","Bagmati","Lalitpur"," Lalitpur Sub Metropolitan ","27.6648","85.321","Janakpur","Sindhuli","Amale","","","","","",27
