id,objectid,zone,district,population,pga_value,severity_class,dist_id,reg_code,zone_code,ocha_pcode,hlcit_code,first_dist,min_paramv,first_class,shape_leng,shape_area
1,77,Lumbini,Arghakhanchi,"275,903",0.04,Moderate,51,524 3,524 3 09,W-LUM-51,524 3 09 50,Arghakhanchi,0.04000000000,Moderate,2.41706042115,0.08871996831
2,73,Dhawalagiri,Baglung,"324,566",0.04,Moderate,45,524 3,524 3 08,W-DHA-45,524 3 08 43,Baglung,0.04000000000,Moderate,1.90463234500,0.08090564048
3,16,Seti,Bajura,"56,318",0.02,Light,67,524 5,524 5 13,F-SET-67,524 5 13 68,Bajura,0.02000000000,Light,1.76948925107,0.06947414805
4,6,Bheri,Banke,"335,280",0.02,Light,57,524 4,524 4 11,M-BHE-57,524 4 11 57,Banke,0.02000000000,Light,0.01721371819,0.00001947786
5,151,Narayani,Bara,"863,620",0.08,Moderate,33,524 2,524 2 06,C-NAR-33,524 2 06 33,Bara,0.08000000000,Moderate,0.04203606143,0.00002728574
6,18,Bheri,Bardiya,"19,235",0.02,Light,58,524 4,524 4 11,M-BHE-58,524 4 11 58,Bardiya,0.02000000000,Light,0.56102467770,0.00858191405
7,145,Bagmati,Bhaktapur,"417,659",0.08,Moderate,26,524 2,524 2 05,C-BAG-26,524 2 05 26,Bhaktapur,0.08000000000,Moderate,0.02111871885,0.00002702964
8,12,Koshi,Bhojpur,"207,461",0.02,Light,10,524 1,524 1 02,E-KOS-10,524 1 02 10,Bhojpur,0.02000000000,Light,0.04002926737,0.00009780066
9,167,Narayani,Chitawan,"740,838",0.08,Moderate,35,524 2,524 2 06,C-NAR-35,524 2 06 35,Chitawan,0.08000000000,Moderate,0.07286457742,0.00017108625
10,20,Bheri,Dailekh,"184,163",0.02,Light,60,524 4,524 4 11,M-BHE-60,524 4 11 61,Dailekh,0.02000000000,Light,1.34298307927,0.08108592515
11,5,Rapti,Dang,"693,566",0.02,Light,56,524 4,524 4 10,M-RAP-56,524 4 10 56,Dang,0.02000000000,Light,0.01841332551,0.00001561080
12,234,Bagmati,Dhading,"397,348",0.12,Strong,30,524 2,524 2 05,C-BAG-30,524 2 05 30,Dhading,0.12000000000,Severe,0.47044184107,0.00439422097
13,30,Koshi,Dhankuta,"193,626",0.02,Light,07,524 1,524 1 02,E-KOS-07,524 1 02 07,Dhankuta,0.02000000000,Light,1.63861213495,0.08172866486
14,42,Janakpur,Dolakha,"213,802",0.04,Moderate,22,524 2,524 2 04,C-JAN-22,524 2 04 22,Dolakha,0.04000000000,Moderate,0.08185288405,0.00041821022
16,40,Karnali,Dolpa,"46,442",0.04,Moderate,62,524 4,524 4 12,M-KAR-62,524 4 12 62,Dolpa,0.04000000000,Moderate,0.04996277100,0.00009207210
17,244,Gandaki,Gorkha,"328,649",0.12,Strong,36,524 3,524 3 07,W-GAN-36,524 3 07 36,Gorkha,0.12000000000,Severe,0.86773504953,0.01405748948
18,74,Lumbini,Gulmi,"311,075",0.04,Moderate,46,524 3,524 3 09,W-LUM-46,524 3 09 51,Gulmi,0.04000000000,Moderate,1.03164446563,0.02050720385
19,25,Karnali,Humla,"53,405",0.02,Light,66,524 4,524 4 12,M-KAR-66,524 4 12 66,Humla,0.02000000000,Light,4.01455635304,0.42978318396
20,36,Mechi,Ilam,"2,144",0.02,Light,03,524 1,524 1 01,E-MEC-03,524 1 01 03,Ilam,0.02000000000,Light,0.15689965033,0.00087432372
21,21,Bheri,Jajarkot,"208,409",0.02,Light,61,524 4,524 4 11,M-BHE-61,524 4 11 60,Jajarkot,0.02000000000,Light,2.28088227232,0.10136646830
22,37,Mechi,Jhapa,"1,511",0.02,Light,04,524 1,524 1 01,E-MEC-04,524 1 01 04,Jhapa,0.02000000000,Light,0.29054442509,0.00061128364
23,129,Karnali,Jumla,"135,002",0.04,Moderate,63,524 4,524 4 12,M-KAR-63,524 4 12 63,Jumla,0.02000000000,Light,0.01824822716,0.00002361331
24,154,Bagmati,Kabhrepalanchok,"478,438",0.08,Moderate,24,524 2,524 2 05,C-BAG-24,524 2 05 24,Kabhrepalanchok,0.08000000000,Moderate,2.52455314666,0.12197507050
25,23,Karnali,Kalikot,"118,917",0.02,Light,64,524 4,524 4 12,M-KAR-64,524 4 12 64,Kalikot,0.02000000000,Light,1.81044870390,0.11253919570
26,76,Lumbini,Kapilbastu,"674,846",0.04,Moderate,50,524 3,524 3 09,W-LUM-50,524 3 09 49,Kapilbastu,0.04000000000,Moderate,1.96909301241,0.05754216770
27,138,Gandaki,Kaski,"634,933",0.08,Moderate,40,524 3,524 3 07,W-GAN-40,524 3 07 39,Kaski,0.08000000000,Moderate,0.02837433766,0.00004924345
28,144,Bagmati,Kathmandu,"1,870,561",0.08,Moderate,27,524 2,524 2 05,C-BAG-27,524 2 05 27,Kathmandu,0.08000000000,Moderate,0.04418592540,0.00009122685
29,13,Sagarmatha,Khotang,"236,203",0.02,Light,13,524 1,524 1 03,E-SAG-13,524 1 03 12,Khotang,0.02000000000,Light,0.02857544659,0.00005278401
30,155,Bagmati,Lalitpur,"911,815",0.08,Moderate,25,524 2,524 2 05,C-BAG-25,524 2 05 25,Lalitpur,0.08000000000,Moderate,0.79150213856,0.01480119038
31,311,Gandaki,Lamjung,"198,233",0.16,Strong,37,524 3,524 3 07,W-GAN-37,524 3 07 37,Lamjung,0.16000000000,Severe,0.09694813345,0.00030550922
32,45,Janakpur,Mahottari,"768,232",0.04,Moderate,18,524 2,524 2 04,C-JAN-18,524 2 04 18,Mahottari,0.04000000000,Moderate,2.04614333391,0.06689292033
33,148,Narayani,Makawanpur,"515,214",0.08,Moderate,31,524 2,524 2 06,C-NAR-31,524 2 06 31,Makawanpur,0.08000000000,Moderate,0.07954734828,0.00018687472
34,175,Gandaki,Manang,"9,471",0.08,Moderate,41,524 3,524 3 07,W-GAN-41,524 3 07 38,Manang,0.08000000000,Moderate,1.21636369828,0.01685503087
