hlcit,impl_ag,src_ag,vdc,action,desc,target,no_actions,no_hh,ave_cost
524 2 05 29 5 013,ADRA,Japan Platform,Timure,Training,Household Training,All / Blanket,20,30,1000
524 2 05 29 5 016,ADRA,Japan Platform,Briddim,Training,Household Training,All / Blanket,30,30,1000
524 2 05 29 5 010,ADRA,Japan Platform,Thulo Gaun,Training,Household Training,All / Blanket,30,30,1000
,Al-Khair Foundation UK,,Syaphru,Distribution,Tents,,10,20,15000
,Al-Khair Foundation UK,,Syaphru,Distribution,Tents,,20,40,15000
,Al-Khair Foundation UK,,Syaphru,Distribution,Tents,,8,16,15000
,Al-Khair Foundation UK,,Syaphru,Distribution,Tents,Targeted group,30,60,15000
,Al-Khair Foundation UK,,Syaphru,Distribution,Tents,,20,40,15000
,Al-Khair Foundation UK,,Syaphru,Distribution,Tents,,12,24,15000
,ANSAB,Relief International,Syaphru,Distribution,Tarpaulin,Targeted group,,,
,ANSAB,ECHO - Relief International,Syaphru,Distribution,CGI Bundle (72ft/bundle),Targeted group,,,
524 2 05 30 5 016,APEIRON,Internal,Jharlang,Distribution,CGI Bundle (72ft/bundle),All / Blanket,866,,13300
524 2 05 30 5 016,APEIRON,Internal,Jharlang,Distribution,Construction Materials,All / Blanket,433,,2500
524 2 05 30 5 016,APEIRON,Internal,Jharlang,Distribution,Tool kits and fixings,All / Blanket,433,,500
524 2 05 30 5 016,APEIRON,Internal,Jharlang,Distribution,Tarpaulin,All / Blanket,433,,1500
524 2 05 25 5 031,APEIRON,Internal,Siddhipur,Distribution,CGI Bundle (72ft/bundle),Targeted group,155,70,14000
,Arbeiter-Samariter- Bund Germany (ASB),,Syaphru,Distribution,Tool kits and fixings,,5,30,
,Arbeiter-Samariter- Bund Germany (ASB),,Syaphru,Distribution,Tarpaulin,,2000,1000,
,Arbeiter-Samariter- Bund Germany (ASB),,Syaphru,Distribution,Blankets,,2000,1000,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,50,50,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,30,30,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,52,52,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,160,160,
,Asal Chimekee Nepal ,,Bichet,Distribution,Tarpaulin,,50,50,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,30,30,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,40,40,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,50,50,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,100,100,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,253,253,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,60,60,
,Asal Chimekee Nepal ,,Chisapani,Distribution,Tarpaulin,,25,25,
,Asal Chimekee Nepal ,,Khamari,Distribution,Tarpaulin,,60,60,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,14,14,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,50,50,
,Asal Chimekee Nepal ,,Syaphru,Distribution,Tarpaulin,,10,10,
,Asal Chimekee Nepal ,,Amarai,Distribution,Tarpaulin,,13,13,
,Asal Chimekee Nepal ,,Ratdanda,Distribution,Tarpaulin,,50,50,
524 2 05 29 5 017,Association for International Solidarity in ASIA (ASIA Onlus),,Syaphru,Distribution,CGI Bundle (72ft/bundle),All / Blanket,1750,875,13400
524 2 05 29 5 017,Association for International Solidarity in ASIA (ASIA Onlus),,Syaphru,Distribution,CGI Bundle (72ft/bundle),,,,13400
524 2 05 29 5 017,Association for International Solidarity in ASIA (ASIA Onlus),,Syaphru,Distribution,Tents,Targeted group,13,13,12000
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,100,100,
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,250,250,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,60,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,40,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,127,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,31,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,139,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,152,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,9,0,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,12,0,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,8,0,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,25,0,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,6,0,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,28,0,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,30,0,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,2,0,
,AWO International e. V,,Syaphru,Distribution,Blankets,,21,21,
,AWO International e. V,,Syaphru,Distribution,Blankets,,16,16,
,AWO International e. V,,Syaphru,Distribution,Blankets,,30,30,
,AWO International e. V,,Syaphru,Distribution,Blankets,,3,3,
,AWO International e. V,,Syaphru,Distribution,Blankets,,50,50,
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,21,21,
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,16,16,
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,30,30,
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,3,3,
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,50,50,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,4,4,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,3,3,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,6,6,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,1,1,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,10,10,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,32,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,9,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,3,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,37,0,
,AWO International e. V,,Syaphru,Distribution,Construction Materials,,32,0,
,AWO International e. V,,Syaphru,Distribution,Construction Materials,,9,0,
