hlcit,impl_ag,src_ag,vdc,action,desc,target,no_actions,no_hh,ave_cost
524 2 05 30 5 046,AAR Japan,,Tasarpu,Distribution,Blankets,All / Blanket,2598,1299,920
524 2 05 30 5 046,AAR Japan,,Tasarpu,Distribution,Tarpaulin,All / Blanket,1299,1299,2103
524 2 05 28 5 028,ACF,,Chaughoda,Distribution,Household kits (excluding tarpaulins),All / Blanket,600,,
524 2 05 28 5 028,ACF,,Chaughoda,Distribution,Tarpaulin,All / Blanket,600,,
524 2 05 28 5 013,ACF,,Suryamati,Distribution,Tarpaulin,All / Blanket,600,,
524 2 05 28 5 013,ACF,,Suryamati,Distribution,Tool kits and fixings,All / Blanket,600,,
524 2 05 29 5 002,ACF,,Dhunche,Distribution,Household kits (excluding tarpaulins),All / Blanket,600,,
524 2 05 29 5 002,ACF,,Dhunche,Distribution,Tarpaulin,All / Blanket,600,,
524 2 05 29 5 008,ACF,,Ramche,Distribution,Household kits (excluding tarpaulins),All / Blanket,600,,
524 2 05 29 5 008,ACF,,Ramche,Distribution,Tarpaulin,All / Blanket,600,,
,ACTED,IOM-USAID,Shankarapuri,Distribution,Tarpaulin,All / Blanket,200,200,
,ACTED,IOM-USAID,Shankarapuri,Distribution,Tarpaulin,All / Blanket,1000,1000,
524 2 05 30 5 011,ACTED,IOM-USAID,Gumdi,Distribution,Tarpaulin,All / Blanket,300,300,
524 2 05 30 5 002,ACTED,IOM-USAID,Katunje,Distribution,Tarpaulin,All / Blanket,250,250,
524 2 05 30 5 017,ACTED,Shelterbox,Lapa,Distribution,Tarpaulin,All / Blanket,864,864,
524 2 05 30 5 003,ACTED,IOM-USAID,Marpak,Distribution,Tarpaulin,All / Blanket,300,300,
524 2 05 30 5 019,ACTED,IOM-USAID,Semdhung,Distribution,Tarpaulin,All / Blanket,650,650,
524 2 05 30 5 005,ACTED,,Sertung,Distribution,Tarpaulin,All / Blanket,75,75,
524 2 05 30 5 005,ACTED,,Sertung,Distribution,Tarpaulin,All / Blanket,100,100,
524 2 05 30 5 005,ACTED,Shelterbox,Sertung,Distribution,Tarpaulin,All / Blanket,832,832,
524 2 05 30 5 005,ACTED,Shelterbox,Sertung,Distribution,Tarpaulin,All / Blanket,60,60,
524 2 05 30 5 020,ACTED,IOM-USAID,Tipling,Distribution,Tarpaulin,All / Blanket,120,120,
524 2 04 22 5 029,ACTED,,Alambu,Distribution,Tarpaulin,All / Blanket,20,20,
524 2 04 22 5 028,ACTED,UNHCR,Boch,Distribution,Tarpaulin,All / Blanket,1087,1087,
524 2 04 22 5 030,ACTED,UNHCR,Lakuridanda,Distribution,Tarpaulin,All / Blanket,780,780,
524 2 05 27 5 002,ACTED,IOM-USAID,Lapsiphedi,Distribution,Tarpaulin,All / Blanket,100,100,
524 2 05 27 5 001,ACTED,IOM-USAID,Nanglebhare,Distribution,Tarpaulin,All / Blanket,500,500,
524 2 05 23 5 031,ACTED,IOM-DFID,Golche,Distribution,Tarpaulin,All / Blanket,11,11,
524 2 05 23 5 057,ACTED,IOM-DFID,Gumba,Distribution,Tarpaulin,All / Blanket,106,106,
524 2 05 23 5 057,ACTED,IOM-DFID,Gumba,Distribution,Tarpaulin,All / Blanket,771,771,
524 2 05 23 5 011,ACTED,UNHCR,Jethal,Distribution,Tarpaulin,All / Blanket,133,133,
524 2 05 23 5 029,ACTED,IOM-USAID,Mangkha,Distribution,Tarpaulin,All / Blanket,1430,1430,
524 2 05 23 5 029,ACTED,IOM-USAID,Mangkha,Distribution,Tarpaulin,All / Blanket,570,570,
524 1 03 11 5 006,ACTED,,Chourikharka,Distribution,Tarpaulin,All / Blanket,15,15,
524 2 05 30 5 017,ACTED,ShelterBox,Lapa,Distribution,Tarpaulin,,46,46,2500
524 2 05 30 5 017,ACTED,ShelterBox,Lapa,Distribution,Tarpaulin,,34,34,2500
524 2 05 30 5 017,ACTED,ShelterBox,Lapa,Distribution,Tarpaulin,,60,60,2500
524 2 05 30 5 005,ACTED,ShelterBox,Sertung,Distribution,Tarpaulin,,56,56,2500
524 2 05 30 5 005,ACTED,ShelterBox,Sertung,Distribution,Tarpaulin,,22,22,2500
524 2 05 30 5 005,ACTED,ShelterBox,Sertung,Distribution,Tarpaulin,,63,63,2500
524 2 05 30 5 005,ACTED,ShelterBox,Sertung,Distribution,Tarpaulin,,60,60,2500
524 2 05 30 5 005,ACTED,ShelterBox,Sertung,Distribution,Tarpaulin,,66,66,2500
524 2 05 30 5 005,ACTED,ShelterBox,Sertung,Distribution,Tarpaulin,,80,80,2500
524 2 05 30 5 005,ACTED,ShelterBox,Sertung,Distribution,Tarpaulin,,15,15,2500
524 2 05 28 5 030,Adara Development,,Ghyangphedi,Distribution,CGI Bundle,,1000,774,
524 2 05 24 5 082,ADRA,IM Swedish Development Partner,Phalete,Distribution,Tarpaulin,All / Blanket,150,150,1700
524 2 05 30 5 024,ADRA,ADRA International,Maidi,Distribution,Tarpaulin,All / Blanket,504,504,1700
,ADRA,ADRA International,,Distribution,Tarpaulin,All / Blanket,424,424,1700
,ADRA,Japan Platform,,Distribution,Tarpaulin,All / Blanket,350,350,1700
524 2 05 25 5 037,ADRA,Japan Platform,Harisiddhi,Distribution,Tents,All / Blanket,90,90,24000
524 2 05 24 5 068,ADRA,ADRA International,Chandeni Mandan,Distribution,Tarpaulin,All / Blanket,300,300,1700
524 2 05 24 5 072,ADRA,ADRA International,Mahadevsthan Mandan,Distribution,Tarpaulin,All / Blanket,300,300,1700
