"","hlcit","impl_ag","src_ag","vdc","action","desc","target","no_actions","no_hh","ave_cost","hazard","exposure","housing","poverty","vulnerability","severity","degree"
"1",524205295013,"ADRA","Japan Platform","Timure","Training","Household Training","All / Blanket",20,30,1000,0.1735222935,0.0150955505,5.387607767,5.260989011,5.3242983895,0.138655629,0
"2",524205295016,"ADRA","Japan Platform","Briddim","Training","Household Training","All / Blanket",30,30,1000,0.521927,0.004326195,5.456937224,7.857142857,6.657040041,0.24679272,0
"3",524205295010,"ADRA","Japan Platform","Thulo Gaun","Training","Household Training","All / Blanket",30,30,1000,0.614608493,0.013901234,5.456937224,7.857142857,6.657040041,0.384572025,0
"12",524205305016,"APEIRON","Internal","Jharlang","Distribution","CGI Bundle (72ft/bundle)","All / Blanket",866,NA,13300,0.831127943,0.042626349,6.817638797,5.152625153,5.985131975,0.59631159,0
"13",524205305016,"APEIRON","Internal","Jharlang","Distribution","Construction Materials","All / Blanket",433,NA,2500,0.831127943,0.042626349,6.817638797,5.152625153,5.985131975,0.59631159,0
"14",524205305016,"APEIRON","Internal","Jharlang","Distribution","Tool kits and fixings","All / Blanket",433,NA,500,0.831127943,0.042626349,6.817638797,5.152625153,5.985131975,0.59631159,0
"15",524205305016,"APEIRON","Internal","Jharlang","Distribution","Tarpaulin","All / Blanket",433,NA,1500,0.831127943,0.042626349,6.817638797,5.152625153,5.985131975,0.59631159,0
"16",524205255031,"APEIRON","Internal","Siddhipur","Distribution","CGI Bundle (72ft/bundle)","Targeted group",155,70,14000,NA,NA,NA,NA,NA,NA,0
"38",524205295017,"Association for International Solidarity in ASIA (ASIA Onlus)","","Syaphru","Distribution","CGI Bundle (72ft/bundle)","All / Blanket",1750,875,13400,0.628338474,0.023281491,5.456937224,7.857142857,6.657040041,0.460074895,0
"39",524205295017,"Association for International Solidarity in ASIA (ASIA Onlus)","","Syaphru","Distribution","CGI Bundle (72ft/bundle)","",NA,NA,13400,0.628338474,0.023281491,5.456937224,7.857142857,6.657040041,0.460074895,0
"40",524205295017,"Association for International Solidarity in ASIA (ASIA Onlus)","","Syaphru","Distribution","Tents","Targeted group",13,13,12000,0.628338474,0.023281491,5.456937224,7.857142857,6.657040041,0.460074895,0
"91",524307365047,"Benegas","IOM","Laprak","Distribution","Tarpaulin","Targeted group",160,160,NA,0.736707023,0.02215381,6.441465148,5.213675214,5.827570181,0.456467905,0
"92",524307365044,"Benegas","IOM","Gumda","Distribution","Tarpaulin","Targeted group",40,40,NA,0.665795845,0.023609543,6.441465148,5.213675214,5.827570181,0.450787703,0
"93",524205305012,"CARE","","Mulpani","Distribution","CGI Bundle (72ft/bundle)","Targeted group",100,0,NA,NA,NA,NA,NA,NA,NA,0
"94",524205305012,"CARE","","Mulpani","Distribution","CGI Bundle (72ft/bundle)","Targeted group",248,0,NA,NA,NA,NA,NA,NA,NA,0
"95",524205305012,"CARE","","Mulpani","Distribution","CGI Bundle (72ft/bundle)","Targeted group",292,0,NA,NA,NA,NA,NA,NA,NA,0
"96",524205305012,"CARE","","Mulpani","Distribution","CGI Bundle (72ft/bundle)","Targeted group",164,0,NA,NA,NA,NA,NA,NA,NA,0
"97",524205305012,"CARE","","Mulpani","Distribution","CGI Bundle (72ft/bundle)","Targeted group",128,0,NA,NA,NA,NA,NA,NA,NA,0
"98",524205305012,"CARE","","Mulpani","Distribution","CGI Bundle (72ft/bundle)","Targeted group",110,0,NA,NA,NA,NA,NA,NA,NA,0
"99",524205305012,"CARE","","Mulpani","Distribution","CGI Bundle (72ft/bundle)","Targeted group",308,0,NA,NA,NA,NA,NA,NA,NA,0
"100",524205305012,"CARE","","Mulpani","Distribution","CGI Bundle (72ft/bundle)","Targeted group",208,0,NA,NA,NA,NA,NA,NA,NA,0
"101",524205305012,"CARE","","Mulpani","Distribution","CGI Bundle (72ft/bundle)","Targeted group",238,0,NA,NA,NA,NA,NA,NA,NA,0
"102",524205305013,"CARE","","Phulkharka","Distribution","CGI Bundle (72ft/bundle)","Targeted group",308,145,NA,1.428384751,0.042288045,6.817638797,5.152625153,5.985131975,0.712380758,0
"103",524205305013,"CARE","","Phulkharka","Distribution","CGI Bundle (72ft/bundle)","Targeted group",344,153,NA,1.428384751,0.042288045,6.817638797,5.152625153,5.985131975,0.712380758,0
"104",524205305013,"CARE","","Phulkharka","Distribution","CGI Bundle (72ft/bundle)","Targeted group",248,118,NA,1.428384751,0.042288045,6.817638797,5.152625153,5.985131975,0.712380758,0
