"","hazard","exposure","housing","poverty","vulnerability","severity","degree"
"1",2.064809816,0.052806235,6.817638797,5.152625153,5.985131975,0.867387174,263
"3",NA,NA,NA,NA,NA,NA,113
"5",0.67444262,0.02813052,5.456937224,7.857142857,6.657040041,0.501727584,289
"7",1.431485677,0.056179027,5.913504002,5.848595849,5.881049925,0.779121809,351
"9",1.712443306,0.037459519,5.913504002,5.848595849,5.881049925,0.722566386,113
"11",0.555249233,0.021241413,6.817638797,5.152625153,5.985131975,0.413283786,0
"12",1.105166194,0.033891946,6.817638797,5.152625153,5.985131975,0.607480872,NA
"13",0.792984253,0.039909662,6.817638797,5.152625153,5.985131975,0.574299956,371
"14",1.088595039,0.049546211,6.817638797,5.152625153,5.985131975,0.685988512,NA
"15",0.614476903,0.036875175,6.817638797,5.152625153,5.985131975,0.513772823,NA
"21",1.297140854,0.037500525,6.817638797,5.152625153,5.985131975,0.662774932,197
"22",0.8251132855,0.051950222,6.518296997,5.4914529915,6.0048749945,0.505282846,NA
"23",1.287783023,0.057706522,8.863975701,1.816239316,5.340107508,0.734862127,74
"24",0.556664977,0.035173401,6.852053081,6.572039072,6.712046076,0.508418173,113
"26",0.972347682,0.03329735,6.852053081,6.572039072,6.712046076,0.601213506,263
"29",0.56393672,0.037018698,6.852053081,6.572039072,6.712046076,0.519400242,118
"30",0.774311576,0.079470769,6.852053081,6.572039072,6.712046076,0.744719454,112
"36",0.774194251,0.015449232,6.852053081,6.572039072,6.712046076,0.431390515,260
"37",0.794602002,0.02831505,6.852053081,6.572039072,6.712046076,0.532525779,NA
"38",1.003409617,0.026172455,6.852053081,6.572039072,6.712046076,0.560693969,113
"39",0.710967782,0.016402635,6.852053081,6.572039072,6.712046076,0.4277659,NA
"40",0.612092922,0.028766122,7.531331947,5.860805861,6.696068904,0.490350019,136
"43",0.53531398,0.029473486,7.531331947,5.860805861,6.696068904,0.472737441,99
"44",0.256495446,0.035619348,6.2654797615,4.90995116,5.587715461,0.3074474695,106
"56",0.564912897,0.025085781,7.531331947,5.860805861,6.696068904,0.456117087,NA
"65",0.938351663,0.038064366,7.531331947,5.860805861,6.696068904,0.620728064,102
"66",0.416604536,0.01848372,7.531331947,5.860805861,6.696068904,0.372201194,330
"69",0.691143411,0.02869436,7.531331947,5.860805861,6.696068904,0.510185618,48
"70",0.293030716,0.018791269,7.531331947,5.860805861,6.696068904,0.332835564,35
"71",0.253531218,0.03130853,7.531331947,5.860805861,6.696068904,0.375985717,24
"72",0.188288026,0.0596748385,6.468401259,5.741758242,6.1050797505,0.2775717105,98
"73",0.026799051,0.013265631,1.908867654,3.058608059,2.483737856,0.09593661,NA
"77",0.023474908,0.02284067,1.908867654,3.058608059,2.483737856,0.110020302,NA
"81",0.024564458,0.020626314,1.908867654,3.058608059,2.483737856,0.107963807,NA
"85",0.0495866435,0.03161608,4.675540848,1.5293040295,3.1024224385,0.148091009,256
"88",0.012933185,0.038023359,1.908867654,3.058608059,2.483737856,0.106894144,338
"92",0.833363222,0.046357949,5.456937224,7.857142857,6.657040041,0.635935744,293
"96",NA,NA,NA,NA,NA,NA,23
"100",1.439810421,0.103398113,8.404832734,0.818070818,4.611451776,0.88216915,212
"104",2.807605434,0.03665989,8.404832734,0.818070818,4.611451776,0.780048553,23
"108",2.576381377,0.168332047,8.404832734,0.818070818,4.611451776,1.259906188,26
"112",NA,NA,NA,NA,NA,NA,NA
"117",1.875784348,0.050007535,6.45603317,3.308913309,4.88247324,0.770819588,314
"122",1.013290193,0.028976281,6.5970743035,3.321123321,4.9590988125,0.369359804,126
"127",1.330211416,0.033471628,6.45603317,3.308913309,4.88247324,0.601283278,0
"132",1.473217748,0.045281526,6.45603317,3.308913309,4.88247324,0.688033031,184
"137",1.603465224,0.055092352,6.45603317,3.308913309,4.88247324,0.755550638,112
"142",1.312290468,0.061745671,6.45603317,3.308913309,4.88247324,0.734106022,8
"147",0.891735848,0.030242359,6.852053081,6.572039072,6.712046076,0.565677547,100
"151",0.523495729,0.026285223,6.852053081,6.572039072,6.712046076,0.452022356,318
"156",0.873852889,0.032200424,6.852053081,6.572039072,6.712046076,0.573744164,215
"161",1.36993796,0.1170738105,7.858014391,4.194139194,6.026076792,0.944345252,206
"165",0.756616726,0.055225623,6.852053081,6.572039072,6.712046076,0.654571609,75
"173",0.299166071,0.017643085,7.531331947,5.860805861,6.696068904,0.328172555,281
"177",0.631484305,0.043856547,7.531331947,5.860805861,6.696068904,0.570259202,426
