OCHA_VNAME,VDC_CODE,VDC_NAME
Ambegudin,524 1 01 01 5 015,Ambegudin
Ankhop,524 1 01 01 5 021,Angkhop
Chaksibote,524 1 01 01 5 016,Chaksibote
Change,524 1 01 01 5 028,Change
Dhungesaghu,524 1 01 01 5 029,Dhungesaghu
Dokhu,524 1 01 01 5 005,Dokhu
Dummrise,524 1 01 01 5 017,Dumrise
Phakumba,524 1 01 01 5 035,Fakhumba
Phulbari,524 1 01 01 5 032,Fulbari
Hangdeva,524 1 01 01 5 002,Hangdewa
Hangpang,524 1 01 01 5 030,Hangpang
Ekhabu,524 1 01 01 5 045,Ikhabu
Kalikhola,524 1 01 01 5 025,Kalikhola
Khamlung,524 1 01 01 5 034,Khamlung
Khewang,524 1 01 01 5 006,Khevang
Khejenim,524 1 01 01 5 046,Khojenim
Khokling,524 1 01 01 5 047,Khokling
Lelep,524 1 01 01 5 048,Lelep
Limbudin,524 1 01 01 5 022,Limbudin
Linkhim,524 1 01 01 5 004,Limkhim
Lingtep,524 1 01 01 5 039,Lingtep
Liwang,524 1 01 01 5 040,Liwang
Mamankhe,524 1 01 01 5 007,Mamangkhe
Mehele,524 1 01 01 5 023,Mehele
Nalbu,524 1 01 01 5 041,Nalbu
Nankholyang,524 1 01 01 5 011,Nangkholyang
Nidhuradin,524 1 01 01 5 031,Niguradin
OlangchungGola,524 1 01 01 5 049,Olangchunggola
Papung,524 1 01 01 5 042,Papung
Pedang,524 1 01 01 5 008,Pedang
Phawakhola,524 1 01 01 5 013,Phabakhola
Phungling,524 1 01 01 5 001,Phungling
Phurumbu,524 1 01 01 5 003,Phuurumbu
Sawalakhu,524 1 01 01 5 024,Sablakhu
Sadewa,524 1 01 01 5 026,Sadeva
Santhakra,524 1 01 01 5 037,Santhankra
Sanwa,524 1 01 01 5 043,Sawa
Sawadin,524 1 01 01 5 050,Sawadin
Sangu,524 1 01 01 5 036,Shanghu
Sikaicha,524 1 01 01 5 018,Sikaicha
Sinam,524 1 01 01 5 019,Sinam
Surumakhim,524 1 01 01 5 027,Surumkhim
Tapethok,524 1 01 01 5 033,Tapethok
Tellok,524 1 01 01 5 009,Tellok
Thechambu,524 1 01 01 5 012,Thechambu
Thinglabu,524 1 01 01 5 038,Thinglabu
Thukima,524 1 01 01 5 044,Thukimba
Thumbedin,524 1 01 01 5 020,Thumbedin
Tiringe,524 1 01 01 5 014,Tiringe
Yamfudin,524 1 01 01 5 010,Yamphudin
Aangsarang,524 1 01 02 5 030,Aasarang
Amarpur,524 1 01 02 5 011,Amarpur
Aangna,524 1 01 02 5 025,Angana
Aarubote,524 1 01 02 5 034,Arubote
Bharapa,524 1 01 02 5 012,Bharappa
Chyangthapu,524 1 01 02 5 007,Changthapu
Chilingdin,524 1 01 02 5 039,Chilingdin
Chokmagu,524 1 01 02 5 031,Chokmagu
Durdimba,524 1 01 02 5 035,Durdimba
Ekteen,524 1 01 02 5 006,Ekttin
Phaktep,524 1 01 02 5 033,Faktep
Falaicha,524 1 01 02 5 018,Falšwcha
Phidim,524 1 01 02 5 019,Fidim
Hangum,524 1 01 02 5 026,Hanbung
Embung,524 1 01 02 5 040,Imbung
Kurumba,524 1 01 02 5 036,Kurumba
Limba,524 1 01 02 5 037,Limba
Luwamfu,524 1 01 02 5 002,Lumpfagung
Lungrupa,524 1 01 02 5 001,Lungruppa
Mauwa,524 1 01 02 5 027,Maiwa
Mangjabung,524 1 01 02 5 021,Mangjabuk
Memeng,524 1 01 02 5 008,Memeng
Nagi,524 1 01 02 5 016,Nagi
Nangeen,524 1 01 02 5 003,Nagin
Nawamidanda,524 1 01 02 5 032,Nawamidanda
Olane,524 1 01 02 5 028,Olne
Oyam,524 1 01 02 5 017,Oyam
Panchami,524 1 01 02 5 013,Panchami
PauwaSartap,524 1 01 02 5 041,Pauwasaratap
Prangbung,524 1 01 02 5 009,Prangbung
Rabi,524 1 01 02 5 038,Rabi
RaniGaun,524 1 01 02 5 022,Rani Gaun
Ranitar,524 1 01 02 5 020,Ranitar
SarangDanda,524 1 01 02 5 029,Sarangdanda
Siwa,524 1 01 02 5 004,Shiba
Sidin,524 1 01 02 5 010,Sidin
Sumang,524 1 01 02 5 014,Subhang
Syangrumba,524 1 01 02 5 023,Syawrumja
Tharpu,524 1 01 02 5 015,Tharaphu
Yanganam,524 1 01 02 5 005,Yangnam
Yasok,524 1 01 02 5 024,Yasok
Amchok,524 1 01 03 5 033,AŠmchok
Bajho,524 1 01 03 5 045,Bajho
Barbote,524 1 01 03 5 018,Barbote
Chameta,524 1 01 03 5 023,Chamauta
Chisapani,524 1 01 03 5 019,Chisapani
Chulachuli,524 1 01 03 5 017,Chulachuli
Danabari,524 1 01 03 5 020,Danabari
Ektappa,524 1 01 03 5 034,Ektappa
Erautar,524 1 01 03 5 011,Erautar
Phakphok,524 1 01 03 5 037,Fakfhok
PhikalBazar,524 1 01 03 5 009,Ficklebazar
Phuyatappa,524 1 01 03 5 038,Fuyatappa
Gajurmukhi,524 1 01 03 5 035,Gajurmukhi
Dhuseni,524 1 01 03 5 028,Ghuseni
Goduk,524 1 01 03 5 021,Godak
Gorkhe,524 1 01 03 5 005,Gorkhe
Ilam N.P.,524 1 01 03 3 001,Ilam Municipality
Ebhang,524 1 01 03 5 046,Imang
Jamuna,524 1 01 03 5 042,Jamuna
Jitpur,524 1 01 03 5 029,Jeetpur
