X,Y,VDC_NAME,OCHA_VNAME,HLCIT_CODE
85.89421245,27.67322435,Attarpur,Atarpur,524 2 05 23 5 022
85.60556266,27.78263689,Bandegaun,Badegau,524 2 05 23 5 044
85.5545788,27.80047382,Bansbari,Bansbari,524 2 05 23 5 066
85.60254917,27.90253891,Banskharka,Banskharka,524 2 05 23 5 054
85.77911956,27.86186324,Baramchae,Baramchi,524 2 05 23 5 053
85.91544116,27.80003412,Barhabise,Barhabise,524 2 05 23 5 002
85.59484295,28.05135207,Baruwa,Baruwa,524 2 05 23 5 070
85.7430785,27.81106572,Batase,Batase,524 2 05 23 5 033
85.63036118,27.73886408,Bhimtar,Bhimtar,524 2 05 23 5 045
85.66112366,27.73855488,Bhotsipa,Bhotasipa,524 2 05 23 5 043
85.66610761,27.88451873,Bhotenamlang,BhoteNamlang,524 2 05 23 5 077
85.50247946,27.79716755,Bhotechaur,Bhotechaur,524 2 05 23 5 063
85.97306149,27.7587734,Chokati,Choukati,524 2 05 23 5 016
85.72050634,27.77431814,Chautara,Choutara,524 2 05 23 5 035
85.85091028,27.86404435,Dhuyang,Dhumthang,524 2 05 23 5 008
85.57294893,27.86615354,Dubachaur,Dubachour,524 2 05 23 5 055
85.5751858,27.76127577,Phataksila,Fatakshila,524 2 05 23 5 078
85.79229766,27.75979842,Phulchodanda,Fulpingdandagau,524 2 05 23 5 030
85.9835932,27.88875869,Phulpingkatti,Fulpingkatti,524 2 05 23 5 005
85.79622503,27.79440944,Phulpingkot,Fulpingkot,524 2 05 23 5 049
85.89393949,27.83170592,Gati,Gati,524 2 05 23 5 003
86.00096763,27.78512075,Ghorthali,Ghorthali,524 2 05 23 5 017
85.9138275,27.76407872,Gunsakun,Ghuskun,524 2 05 23 5 015
85.74195703,28.01877353,Golche,Gloche,524 2 05 23 5 031
85.82331977,28.05855584,Gumba,Gumba,524 2 05 23 5 057
85.69279881,27.9232776,Ghunsakot,Gunsakot,524 2 05 23 5 067
85.81625308,27.84587139,Hagam,Hagam,524 2 05 23 5 051
85.46822638,27.81720088,Haibung,Haibung,524 2 05 23 5 079
85.52553935,28.04780543,Helambu,Helumbu,524 2 05 23 5 065
85.51349788,27.93164225,Ichok,Ichok,524 2 05 23 5 058
85.74320399,27.74679618,Irkhu,Irkhu,524 2 05 23 5 038
85.78131156,27.82424173,Jalbire,Jalbire,524 2 05 23 5 050
85.91522356,27.69749597,Jethal,Jethal,524 2 05 23 5 011
85.60786141,27.84480732,Jyamire,Jyamire,524 2 05 23 5 075
85.76207425,27.72868888,Kadambas,Kadambas,524 2 05 23 5 040
85.76874172,27.69852901,Kalika,Kalika,524 2 05 23 5 019
85.95981657,27.80436225,Karthali,Karthali,524 2 05 23 5 001
85.57835029,27.93033442,Kiul,Kiwool,524 2 05 23 5 073
85.74993001,27.77577221,Kubhinde,Kubhinde,524 2 05 23 5 037
85.66105174,27.78457386,Kunchok,Kunchok,524 2 05 23 5 046
85.6375598,27.86632085,Lagarche,Langarche,524 2 05 23 5 076
85.84640943,27.65611461,Lisangkhu,Lisankhu,524 2 05 23 5 020
85.87781088,27.91945216,Listokot,Listikot,524 2 05 23 5 007
85.50649637,27.88388097,Mahangkal,Mahankal,524 2 05 23 5 059
85.86088723,27.80520239,Maneswar,Maneswor,524 2 05 23 5 009
85.83667912,27.77068306,Mangkha,Mankha,524 2 05 23 5 029
85.9402242,27.84817111,Marming,Marming,524 2 05 23 5 004
85.55990196,27.83059178,Melamchi,Melamchi,524 2 05 23 5 061
85.66891635,28.04947772,Bhotang,Motang,524 2 05 23 5 069
85.62720551,27.81263966,Nawalpur,Nawalpur,524 2 05 23 5 048
85.84499314,27.74480595,Pangretar,Pagretar,524 2 05 23 5 027
85.55884302,27.88925263,Palchok,Palchok,524 2 05 23 5 056
85.78817592,27.89445994,Pangtang,Pangtang,524 2 05 23 5 072
85.87972617,27.72374112,Pedku,Petaku,524 2 05 23 5 010
85.69540218,27.78614511,Pipaldanda,Pipaldanda,524 2 05 23 5 036
85.93202762,27.73895343,Piskar,Piskar,524 2 05 23 5 014
85.87264666,27.78021291,Ramche,Ramche,524 2 05 23 5 028
85.71611217,27.6905136,Sangachok,Sangachok,524 2 05 23 5 042
85.70361488,27.75536573,Sanusirubari,Sanusiruwari,524 2 05 23 5 039
85.73199413,27.84938478,Selang,Selang,524 2 05 23 5 032
85.58918323,27.81158193,Shikharpur,Sikharpur,524 2 05 23 5 074
85.52368665,27.82440634,Sindhukot,Sindhukot,524 2 05 23 5 062
85.62799967,27.76293751,Sipapokharae,SipaPokhare,524 2 05 23 5 052
85.6623077,27.83436053,Sinpal Kavre,SipalKavre,524 2 05 23 5 047
85.82035421,27.70509538,Sunkhani,Sunkhani,524 2 05 23 5 023
85.69528521,27.82464332,Syaule,SyauleBazar,524 2 05 23 5 034
85.52425708,27.8524059,Talamarang,Talramarang,524 2 05 23 5 060
85.92202182,27.98116941,Tatopani,Tatopani,524 2 05 23 5 006
85.90740085,27.72560407,Tauthali,Tauthali,524 2 05 23 5 013
85.88245636,27.75263952,Tekanpur,Tekanpur,524 2 05 23 5 012
85.48122827,27.84780121,Thakani,Thakani,524 2 05 23 5 071
85.64399434,27.91114918,Ghuyang (Thanpalchap),ThampalChhap,524 2 05 23 5 064
85.68463954,27.94983073,Thapalkot,Thanpalkot,524 2 05 23 5 068
85.78530154,27.68085906,Thokarpa,Thokarpa,524 2 05 23 5 018
85.89737485,27.64431756,Thulo Dhading,ThuloDhading,524 2 05 23 5 021
85.8659576,27.7039112,Thulo Pakhar,ThuloPakhar,524 2 05 23 5 025
85.69815283,27.72597894,Thulo Sirubari,ThuloSirubari,524 2 05 23 5 041
85.83255616,27.72746402,Thumpakhar,ThumPakhar,524 2 05 23 5 026
85.79457205,27.72347169,Yamuna Danda,Yamunadanda,524 2 05 23 5 024
85.59197567,27.67698812,Anekot,Anaikot,524 2 05 24 5 067
85.54259569,27.54686003,Balthali,Baldthali,524 2 05 24 5 051
85.7181755,27.44713587,Walting,Balting,524 2 05 24 5 021
85.5409725,27.72530278,Baluwa Pati Naldhun,BaluwapatiDeupur,524 2 05 24 5 059
85.66514336,27.36382315,Wanakhu,BanakhuChor,524 2 05 24 5 026
85.52886278,27.63396886,Banepa Municipality,Banepa N.P.,524 2 05 24 3 003
85.80773024,27.65610494,Bekhsimle Ghartigaon,BekhsimleDhartigaun,524 2 05 24 5 086
85.75214408,27.42985212,Bhimkhori,Bhimkhori,524 2 05 24 5 025
85.73197113,27.63731101,Bhumlutar,Bhumlutar,524 2 05 24 5 075
85.75807626,27.56260581,Birtadeurali,Birtadeurali,524 2 05 24 5 003
85.75829029,27.53447044,Boldephadiche,BoldeFediche,524 2 05 24 5 011
85.6737208,27.41730446,Budhakhani,Budhakhani,524 2 05 24 5 027
85.50590368,27.54352441,Chalalganeshsthan,ChalalGaneshsthan,524 2 05 24 5 047
85.65659222,27.70320237,Chandeni Mandan,ChandeniMandan,524 2 05 24 5 068
85.77704871,27.62919269,Chaubas,Choubas,524 2 05 24 5 076
85.45012146,27.47729689,Chyamrangbesi,Chyamrangbesi,524 2 05 24 5 052
85.52255356,27.51317837,Chyasingkharka,ChyasingKharka,524 2 05 24 5 053
85.53764182,27.41328186,Dandagaun,Dandagaun,524 2 05 24 5 046
85.6081323,27.53910121,Dapcha Chatraebangha,DapchaChatraibhanjha,524 2 05 24 5 035
85.6229399,27.53500116,Daraunepokhari,DaraunePokhari,524 2 05 24 5 037
85.64307811,27.60920875,Baluwadeubhumi,DeuvumiBaluwa,524 2 05 24 5 077
85.5567109,27.67059128,Devitar,Devitar,524 2 05 24 5 069
85.55514605,27.62211469,Dhulikhel Municipality,Dhulikhel N.P.,524 2 05 24 3 001
85.47998411,27.51429152,Dhungkharka Bahrabisae,Dhunkharka,524 2 05 24 5 054
85.80175928,27.59360624,Ghusenisiwalaye,DhuseniSiwalaya,524 2 05 24 5 004
85.70312294,27.62935702,Dolalghat,Dolalghat,524 2 05 24 5 078
85.73378853,27.61680107,Phalete,FalateBhumlu,524 2 05 24 5 082
85.51131519,27.4513444,Phalametar,Falemetar,524 2 05 24 5 048
85.62196865,27.41516386,Phoksingtar,Foksingtar,524 2 05 24 5 002
85.57654776,27.73445449,Gairi Bisauna Deupur,GairiBisounaDeupur,524 2 05 24 5 060
85.59813472,27.36862172,Ghartichhap,Ghartichhap,524 2 05 24 5 028
85.56040128,27.39107465,Gokule,Gokule,524 2 05 24 5 029
85.77579476,27.58546445,Gotpani,Gothpani,524 2 05 24 5 005
85.64799325,27.64852728,Hoksebazar,HokseBazar,524 2 05 24 5 079
85.64034773,27.68129357,Jaisithok Mandan,JaisithokMandan,524 2 05 24 5 070
85.67601304,27.66927668,Jyamdi Mandan,JyamdiMandan,524 2 05 24 5 071
85.45563025,27.55440939,Kapali Bhumaedanda,KalatiBhumidanda,524 2 05 24 5 063
85.69399125,27.54319672,Kanpur Kalapani,KanpurKalapani,524 2 05 24 5 013
85.79963716,27.54759645,Kattike Deurali,KartikeDeurali,524 2 05 24 5 006
85.67710896,27.51909046,Katunjebesi,KatunjeBesi,524 2 05 24 5 014
85.58078423,27.61044136,Kabhrenitya Chandeshwari,KavreNityaChandeswor,524 2 05 24 5 038
85.57392362,27.49982665,Khaharepangu,KhaharePangu,524 2 05 24 5 030
85.64538593,27.53098951,Dapcha Khanalthok,Khanalthok,524 2 05 24 5 036
85.67831195,27.60687381,Kharelthok,Kharelthok,524 2 05 24 5 081
85.6968578,27.49191424,Kharpachok,Kharpachok,524 2 05 24 5 022
85.73891458,27.59292844,Kolanti,KolatiBhumlu,524 2 05 24 5 074
85.70806171,27.59329837,Koshidekha,Koshidekha,524 2 05 24 5 080
85.76027471,27.49384717,Kuruwas Chapakhori,KuruwasChapakhori,524 2 05 24 5 012
85.45216025,27.57932705,Kushadevi,Kushadevi,524 2 05 24 5 062
85.78564301,27.46913447,Mechchhe,Machchhegaun,524 2 05 24 5 015
85.80542112,27.5242497,Madankundari,MadanKundari,524 2 05 24 5 007
85.6123868,27.7159574,Mahadevsthan Mandan,MahadevsthanMandan,524 2 05 24 5 072
85.61968344,27.47205683,Mahadevtar,Mahadevtar,524 2 05 24 5 031
85.54799957,27.50894918,Bhugdeu Mahankalchaur,MahankalChaur,524 2 05 24 5 032
85.49235579,27.61618613,Mahendrajyoti Bansdol,MahendraJyoti,524 2 05 24 5 065
85.83082286,27.59213689,Majhipheda,MajhiFeda,524 2 05 24 5 008
85.71634383,27.47295125,Mangaltar,Mangaltar,524 2 05 24 5 023
85.62103179,27.57737337,Mathurapati Phulbari,MathurapatiFulbari,524 2 05 24 5 039
85.66533606,27.57039354,Methinkot,Methinkot,524 2 05 24 5 016
85.43739866,27.42536786,Milche,Milche,524 2 05 24 5 045
85.85521281,27.61273155,Nangregagarche,NagreGagarche,524 2 05 24 5 009
85.52838266,27.65947991,Ugrachandinala,Nala(Ugrachandi),524 2 05 24 5 055
85.48169289,27.63125801,Nasikasthan Sanga,NasikasthanSanga,524 2 05 24 5 056
85.56342757,27.70541262,Naya Gaun Deupur,NayagaunDeupur,524 2 05 24 5 061
85.52160721,27.58579748,Panauti Municipality,Panauti N.P.,524 2 05 24 3 002
85.61346254,27.64277331,Panchkhal,Panchkhal,524 2 05 24 5 073
85.59935534,27.59973861,Patlekhet,Patalekhet,524 2 05 24 5 040
85.80885271,27.57023086,Chauri Pokhari,PokhariChauri,524 2 05 24 5 042
85.73454086,27.51434844,Pokhari Narayansthan,PokhariNarayansthan,524 2 05 24 5 017
85.5941666,27.54567669,Purana Gaun Pokhari,PuranogaunDapcha,524 2 05 24 5 041
85.56578884,27.64357349,Rabiopi,RaviOpi,524 2 05 24 5 066
85.43635084,27.60027077,Ryale Bihawar,RyaleBhir,524 2 05 24 5 064
85.46994168,27.41873977,Saldhara,Saldhara,524 2 05 24 5 049
85.76167853,27.60819794,Salle Blullu,SalleBhumlu,524 2 05 24 5 083
85.49555488,27.3920838,Salme Taldhunga,Salmechakala(Taldhunga),524 2 05 24 5 050
85.56684798,27.57566027,Sangkhupatichaur,SankhupatiChour,524 2 05 24 5 018
85.8158313,27.62427217,Sanuwangthali,Sanowangthali,524 2 05 24 5 010
85.74335201,27.6555488,Saping,Saping,524 2 05 24 5 084
85.55217367,27.59110064,Sharada (Batase),SaradaBatase,524 2 05 24 5 043
85.74354208,27.5428543,Sarmathali,Saramthali,524 2 05 24 5 019
85.71891469,27.56232728,Sarsyunkharka,Sarasyunkhark,524 2 05 24 5 001
85.68022502,27.62766113,Sathigharbhagawati,SathigharBhagawati,524 2 05 24 5 085
85.59777583,27.48516064,Shikhar Ambote,SikharAmbote,524 2 05 24 5 033
85.58048983,27.55919044,Syampati Simalchaur,SimalchourSyampati,524 2 05 24 5 044
85.79143021,27.64979048,Simthali,Simthali,524 2 05 24 5 087
