"","p_code","vdc","hazard","exposure","housing","poverty","vulnerability","severity","sev_norm","sev_cat","hlcit","lon","lat","pop_density","hc_cnt","hc_wt_cnt","hazard_score","dist_epicenter"
"1","C-BAG-27-031","KathmanduN.P.",2.170716589,10,8.863975701,1.816239316,5.340107508,4.875857919,10,"Highest",524205271001,85.32713855,27.70914732,19724.49,4,15,10,21.9628409983042
"2","C-BAG-25-027","LalitpurN.P.",1.720360572,2.263584201,8.404832734,0.818070818,4.611451776,2.618693089,5.370732972,"Highest",524205252001,85.3174754,27.66949651,14570.92,2,7,8.9,25.7367797012107
"3","C-NAR-35-005","BharatpurN. P.",2.208868341,1.474555924,5.37928052,2.533577534,3.956429027,2.344470754,4.808324592,"Highest",524206353001,84.44048468,27.65580161,886.99,5,17,8,105.714427633333
"4","C-BAG-26-012","MadhyapurThimiN.P.",2.44879243,0.851255776,8.226716181,0.894383394,4.560549788,2.118408688,4.344689127,"Highest",524205263002,85.38139816,27.6826324,7472.76,3,8,9,20.7289697470935
"5","C-BAG-27-028","Jorpati",1.909456971,0.866951047,8.863975701,1.816239316,5.340107508,2.067687096,4.240663142,"Highest",524205275012,85.37810703,27.72571356,17548.66,1,1,10,17.0959214908872
"6","C-BAG-26-003","BhaktapurN.P.",1.817828592,0.838051654,8.226716181,0.894383394,4.560549788,1.908154956,3.913475305,"Highest",524205263001,85.42947851,27.67514183,12468.07,3,11,8.9,19.4093159230804
"7","W-GAN-36-050","PrithbinarayanN.P.",3.480341977,0.332901739,6.441465148,5.213675214,5.827570181,1.890058147,3.876360178,"Highest",524307363001,84.60318367,27.9814378,538.74,3,11,9.8,88.9712696252302
"8","C-JAN-20-025","KamalamiN.P.",2.537994325,0.40404817,5.191504838,6.547619048,5.869561943,1.819043817,3.730715389,"Highest",524204203001,85.92743968,27.17349073,189.41,4,14,7,85.5355092735236
"9","C-JAN-20-026","Kapilakot",8.019007365,0.117740168,5.191504838,6.547619048,5.869561943,1.769634804,3.6293814,"Highest",524204205040,85.67091661,27.30155712,107.04,2,7,7.3,62.3464559697234
"10","C-BAG-27-033","KirtipurN.P.",1.34731891,0.672528559,8.863975701,1.816239316,5.340107508,1.69138982,3.468907109,"Highest",524205273002,85.27501468,27.6669139,4444.68,2,7,10,28.9186887742589
"11","C-BAG-27-022","Gonggabu",1.617594448,0.557792123,8.863975701,1.816239316,5.340107508,1.689003988,3.464013957,"Highest",524205275028,85.31812249,27.74608357,23053.42,1,1,10,20.238989801963
"12","C-BAG-27-030","Kapan",1.710453256,0.496825577,8.863975701,1.816239316,5.340107508,1.655598606,3.395502154,"Highest",524205275017,85.36398361,27.7405962,10407.78,1,1,10,16.93084190125
"13","C-BAG-24-065","PanautiN. P.",3.297377371,0.280464564,6.45603317,3.308913309,4.88247324,1.652832487,3.389829061,"Highest",524205243002,85.52160721,27.58579748,861.95,3,10,9.1,28.3898117775337
"14","C-JAN-20-034","Mahadevsthan",10,0.071423226,5.191504838,6.547619048,5.869561943,1.612433147,3.306973201,"Highest",524204205038,85.77448711,27.24428271,114.63,1,1,7.3,71.7640807824718
"15","C-JAN-20-024","Kalpabrishykha",7.100648031,0.096057934,5.191504838,6.547619048,5.869561943,1.587860357,3.256576347,"Highest",524204205041,85.68265768,27.22255712,72.52,1,1,7.3,71.1191579014755
"16","C-NAR-31-020","HetaudaN.P.",1.038322648,0.868017219,4.990112867,3.644688645,4.317400756,1.572875485,3.225843556,"Highest",524206313001,85.03669964,27.41769055,1772.39,3,11,8,65.0987073753445
"17","C-BAG-28-008","BidurN.P.",2.264279392,0.274231562,5.913504002,5.848595849,5.881049925,1.539929265,3.158273459,"Highest",524205283001,85.14689116,27.90672365,799,3,11,8.6,34.9538398099553
"18","W-GAN-38-001","Aabukhaireni",4.080220093,0.167942484,6.434894278,4.044566545,5.239730411,1.531267395,3.140508646,"Highest",524307405011,84.50175603,27.89087775,243.41,1,1,7.4,97.7408167176275
"19","C-NAR-35-033","RatnanagarN.P.",1.730344271,0.475338125,5.37928052,2.533577534,3.956429027,1.48187936,3.039217682,"Highest",524206353002,84.50613987,27.62864165,1301.66,2,4,7.9,100.061486345286
"20","C-BAG-27-016","Dhapasi",1.738208783,0.321963231,8.863975701,1.816239316,5.340107508,1.440409817,2.954166921,"High",524205275027,85.32870285,27.74754002,15410.36,1,1,10,19.2678667677939
"21","C-BAG-27-023","Gothatar",2.002565765,0.268275355,8.863975701,1.816239316,5.340107508,1.420929472,2.914214268,"High",524205275010,85.37671784,27.70421396,5672.94,1,1,10,19.0237810168574
"22","W-LUM-48-021","Gaidakot",1.821970971,0.342569042,5.60905413,3.507326007,4.558190069,1.416970034,2.906093773,"High",524309475013,84.38525747,27.72917505,523.54,1,1,8.1,109.803251572167
"23","C-BAG-24-006","BanepaN. P.",2.276162007,0.253871791,6.45603317,3.308913309,4.88247324,1.413033623,2.898020506,"High",524205243003,85.52886278,27.63396886,4455.93,2,6,9,23.1566044969767
"24","C-JAN-20-013","Dadiguranshe",9.298300467,0.049248913,5.191504838,6.547619048,5.869561943,1.390385741,2.851571487,"High",524204205037,85.8276658,27.2372726,58.12,1,1,7.3,74.6397595943812
"25","C-BAG-27-038","Manmaiju",1.204389031,0.414330573,8.863975701,1.816239316,5.340107508,1.386398003,2.843392949,"High",524205275033,85.30871781,27.75022136,13247.89,1,1,10,20.8121261510947
"26","C-BAG-30-035","Nilkantha",2.005448284,0.206898743,6.817638797,5.152625153,5.985131975,1.354194411,2.777345923,"High",524205305026,84.93137088,27.9074556,656.55,4,13,9.4,55.8473196891039
"27","C-BAG-30-002","Baireni",2.971618107,0.137054271,6.817638797,5.152625153,5.985131975,1.345818314,2.760167208,"High",524205305041,84.97841582,27.76851601,238.97,2,6,9.5,51.3674312650218
"28","C-BAG-25-023","Imadol",1.869112795,0.280146763,8.404832734,0.818070818,4.611451776,1.341589333,2.751493903,"High",524205255032,85.34388781,27.65901824,6793.65,1,2,8.9,24.9839796078095
"29","C-BAG-30-013","Gajuri",3.499847102,0.102875279,6.817638797,5.152625153,5.985131975,1.291649292,2.649070818,"High",524205305043,84.85782898,27.76844912,236.42,1,3,9.5,63.1128411354554
"30","C-BAG-30-034","Naubise",2.339903316,0.149192221,6.817638797,5.152625153,5.985131975,1.278417209,2.621932859,"High",524205305049,85.15468229,27.70356465,337.52,1,2,9.4,36.702928059559
"31","C-NAR-31-016","Faparbari",2.755782184,0.171981633,4.990112867,3.644688645,4.317400756,1.269549893,2.603746694,"High",524206315012,85.35977617,27.32542861,119,2,6,8.2,58.732695214538
"32","C-BAG-30-037","Pida",2.984717642,0.11320894,6.817638797,5.152625153,5.985131975,1.264598229,2.593591219,"High",524205305045,84.90452447,27.75304012,206.83,1,1,9.5,58.8207525412526
"33","C-BAG-25-009","Chapagaun",2.576381377,0.168332047,8.404832734,0.818070818,4.611451776,1.259906188,2.583968214,"High",524205255022,85.32727779,27.59393349,2257.29,1,1,9,31.9227418818387
"34","C-BAG-30-018","Jogimara",4.175264536,0.079388756,6.817638797,5.152625153,5.985131975,1.256528204,2.577040235,"High",524205305039,84.67783112,27.78500823,164.01,1,1,9.6,80.5398391268635
"35","C-BAG-24-023","DhulikhelN. P.",2.64460094,0.146424277,6.45603317,3.308913309,4.88247324,1.236529179,2.536023813,"High",524205243001,85.55514605,27.62211469,1182.44,5,16,9,24.9520192668132
"36","C-BAG-30-004","Benighat",3.116678765,0.099615256,6.817638797,5.152625153,5.985131975,1.229411324,2.521425654,"High",524205305037,84.79857237,27.78666863,236.5,1,2,9.5,68.6884936045384
"37","C-NAR-35-017","Jutpani",3.193126196,0.146844594,5.37928052,2.533577534,3.956429027,1.228737582,2.520043863,"High",524206355020,84.52049273,27.69727042,309.86,1,1,8.1,97.1252582674898
"38","C-JAN-20-030","Kyaneshwor",3.274539297,0.095996424,5.191504838,6.547619048,5.869561943,1.226507809,2.515470774,"High",524204205021,85.57931522,27.18469418,75.82,1,1,7.1,73.3435281734809
"39","C-BAG-27-037","Mahankal",1.839265076,0.184498894,8.863975701,1.816239316,5.340107508,1.219165593,2.500412467,"High",524205275021,85.35324685,27.74954511,4383.32,1,1,10,17.1419903289173
"40","C-BAG-26-002","Balkot",2.362211982,0.162806409,8.226716181,0.894383394,4.560549788,1.205968198,2.473345652,"High",524205265009,85.37408941,27.66585572,5591.57,2,5,9,22.6930443618895
