longitude,latitude,hf_type,vdc_name1,vdc_code1
83.34710173,28.21960629,Sub Center,Righa,W-DHA-45-050
84.25028538,28.53817744,DPHO,Chame,W-GAN-41-002
87.89133036,27.34808092,Sub Health Post,Mehele,E-MEC-01-022
86.68965205,27.06316093,Sub Health Post,Jante,E-SAG-14-015
86.65350687,26.94307061,Health Post,Rauta,E-SAG-14-029
86.57307199,26.97575563,Sub Health Post,Dumre,E-SAG-14-010
84.8399759,27.92158172,Sub Health Post,Dhola,C-BAG-30-010
80.88828936,29.39171331,Sub Center,Barchhen,F-SET-70-003
82.13824433,29.34525587,DPHO,Chandannath,M-KAR-63-004
85.37145336,27.33687303,Sub Center,Faparbari,C-NAR-31-016
83.65256004,28.13621796,Sub Health Post,Kurgha,W-DHA-44-031
85.29093571,28.10052,DPHO,Dhunche,C-BAG-29-005
85.812327,27.36370745,Health Post,Bastipur,C-JAN-20-006
86.19731567,26.73189846,Sub Health Post,Chatari,E-SAG-16-027
81.9000807,28.47797735,Sub Health Post,Ghumkhahare,M-BHE-59-019
87.54414238,27.44557806,Sub Center,Thukima,E-MEC-01-047
86.70194886,26.80942428,DPHO,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,DPHO,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,DPHO,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,DPHO,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,DPHO,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,DPHO,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,DPHO,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,DPHO,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,DPHO,TriyugaN.P.,E-SAG-14-043
85.91990061,26.7531964,DPHO,JanakpurN.P.,C-JAN-17-048
84.35693357,28.23999301,DPHO,Besishahar,W-GAN-37-007
87.49842316,26.47130387,Hospital,Rangeli,E-KOS-05-050
84.58015455,27.36073867,Supply Center,Thori,C-NAR-34-080
86.76246683,26.5456712,DPHO,RajbirajN.P.,E-SAG-15-097
86.70194886,26.80942428,DPHO,TriyugaN.P.,E-SAG-14-043
86.6531335,26.81329414,Hospital,TriyugaN.P.,E-SAG-14-043
86.88725845,26.81106036,Primary Health Center,Beltar,E-SAG-14-007
86.34755962,27.13209419,Health Post,Yayankhu,E-SAG-14-045
86.56135396,27.09240987,Health Post,Rupatar,E-SAG-14-031
86.53478724,27.06115902,Health Post,Lekhgau,E-SAG-14-022
86.68323734,27.08858196,Health Post,Balamta,E-SAG-14-002
86.67415929,27.01687975,Health Post,Bhuttar,E-SAG-14-008
86.50738302,26.95925792,Health Post,Pachchawati,E-SAG-14-027
86.66673887,26.77895797,Health Post,TriyugaN.P.,E-SAG-14-043
86.65350687,26.94307061,Health Post,Rauta,E-SAG-14-029
87.01862291,26.80739925,Health Post,Thoksila,E-SAG-14-041
86.39710386,26.98560491,Sub Health Post,Katari,E-SAG-14-017
86.44382801,26.97186394,Sub Health Post,Risku,E-SAG-14-030
86.48134607,27.02574896,Sub Health Post,Tawashree,E-SAG-14-039
86.49221674,27.07953024,Sub Health Post,Okhale,E-SAG-14-026
86.4678327,27.06351669,Sub Health Post,Limpatar,E-SAG-14-023
86.43230095,27.0554161,Sub Health Post,Sirise,E-SAG-14-035
86.43200997,27.11313685,Sub Health Post,ShorungChabise,E-SAG-14-033
86.4006801,27.14883374,Sub Health Post,Lekhani,E-SAG-14-021
86.56348302,27.13162668,Sub Health Post,Thanagau,E-SAG-14-040
86.58554585,27.13828081,Sub Health Post,Basabote,E-SAG-14-005
86.63795807,27.12159152,Sub Health Post,Tamlida,E-SAG-14-037
86.59710142,27.10976951,Sub Health Post,Baraha,E-SAG-14-003
86.58010326,27.06214465,Sub Health Post,Iname,E-SAG-14-013
86.55984474,27.01597125,Sub Health Post,Barai,E-SAG-14-004
86.62271079,27.03372009,Sub Health Post,Nametar,E-SAG-14-025
86.57307199,26.97575563,Sub Health Post,Dumre,E-SAG-14-010
86.68965205,27.06316093,Sub Health Post,Jante,E-SAG-14-015
86.71258464,27.04710711,Sub Health Post,Laphagau,E-SAG-14-020
86.6931272,26.98777914,Sub Health Post,Pokhari,E-SAG-14-028
86.58949516,26.95238241,Sub Health Post,Valayadanda,E-SAG-14-044
86.74051888,26.98567854,Sub Health Post,Aaptar,E-SAG-14-001
86.74309608,26.93005544,Sub Health Post,Khanbu,E-SAG-14-019
86.6786246,26.91601639,Sub Health Post,Jalpachilaune,E-SAG-14-014
86.73915271,26.86929629,Sub Health Post,Saune,E-SAG-14-032
86.86483053,26.87898777,Sub Health Post,Sidhdipur,E-SAG-14-034
86.82086223,26.81013473,Sub Health Post,Hadiya,E-SAG-14-011
86.77363656,26.76614929,Sub Health Post,Jogidaha,E-SAG-14-016
86.88861948,26.75823463,Sub Health Post,Sundarpur,E-SAG-14-036
86.93708897,26.82100628,Sub Health Post,Bashaha,E-SAG-14-006
86.96359233,26.8878312,Sub Health Post,Chaudandi,E-SAG-14-009
87.06563202,26.89148043,Sub Health Post,Katunjebawala,E-SAG-14-018
86.98401404,26.78682426,Sub Health Post,Tapeswori,E-SAG-14-038
87.0019556,26.72094781,Sub Health Post,Koshi Tappu Wildlife,E-SAG-14-046
87.12769252,26.90900487,Sub Health Post,Mainamiani,E-SAG-14-024
86.38545386,27.08507535,Sub Health Post,Hardeni,E-SAG-14-012
