DIST_ID,SURVEY_NAM,VDC_ID,DISTRICT,VDC_NAME,VDC_CODE,ZONE_NAME,REGION,P_CODE,HHs2011,Popn2011,Male2011,Female2011,Popden2011
31,AGRA,1,Makwanpur,Agara,310001,Narayani,Central,C-NAR-31-001,1572,7836,3850,3986,190.83
31,AMBHANJYANG,2,Makwanpur,Ambhanjyang,310002,Narayani,Central,C-NAR-31-002,1403,6906,3330,3576,171.81
31,BAJRABARAHI,3,Makwanpur,Bajrabarahi,310003,Narayani,Central,C-NAR-31-003,1630,7675,3622,4053,428.34
31,BHARTA,7,Makwanpur,BhartaPundyadevi,310007,Narayani,Central,C-NAR-31-007,693,4169,2143,2026,146.97
31,BHIMPHEDI,8,Makwanpur,Bhimfedi,310008,Narayani,Central,C-NAR-31-008,1161,5440,2503,2937,123.4
31,SUKAURA,42,Makwanpur,Sukaura,310042,Narayani,Central,C-NAR-31-042,654,3525,1721,1804,140.3
31,TISTUNG,44,Makwanpur,TistungDeurali,310044,Narayani,Central,C-NAR-31-044,1405,7041,3409,3632,216.07
31,BASAMADI,4,Makwanpur,Basamadi,310004,Narayani,Central,C-NAR-31-004,3557,17130,8358,8772,231.96
31,BETENI,5,Makwanpur,Betini,310005,Narayani,Central,C-NAR-31-005,617,3351,1667,1684,52.34
31,BHAINSE,6,Makwanpur,Bhaise,310006,Narayani,Central,C-NAR-31-006,1388,6717,3228,3489,106.61
31,PHAPARBARI,16,Makwanpur,Faparbari,310016,Narayani,Central,C-NAR-31-016,3221,16776,7991,8785,119
31,RAIGAUN,36,Makwanpur,Raigaun,310036,Narayani,Central,C-NAR-31-036,1893,10368,4977,5391,97.09
31,SHRIPUR CHHATIWAN,40,Makwanpur,ShreepurChhatiwan,310040,Narayani,Central,C-NAR-31-040,4172,20747,9952,10795,127.92
31,THINGAN,43,Makwanpur,Thingan,310043,Narayani,Central,C-NAR-31-043,713,4270,2037,2233,64.37
31,KALIKATAR,23,Makwanpur,Kalikatar,310023,Narayani,Central,C-NAR-31-023,796,4723,2384,2339,138.04
41,MANANG,7,Manang,Manang,410007,Gandaki,Western,W-GAN-41-007,131,630,373,257,14.4
41,GHYARU,5,Manang,Ghyaru,410005,Gandaki,Western,W-GAN-41-005,33,71,32,39,5.13
41,PHU,4,Manang,Fu,410004,Gandaki,Western,W-GAN-41-004,36,176,88,88,0.5
5,NOCHA,44,Morang,Necha,50044,Koshi,Eastern,E-KOS-05-044,832,4160,2076,2084,639.59
41,NGAWAL,9,Manang,Nyawal,410009,Gandaki,Western,W-GAN-41-009,73,274,151,123,9.24
5,AMARDAHA,2,Morang,Amardaha,50002,Koshi,Eastern,E-KOS-05-002,3116,14003,6617,7386,414.15
5,BABIYABIRTA,4,Morang,Babiyabirta,50004,Koshi,Eastern,E-KOS-05-004,3262,14626,7010,7616,371.07
5,BAHUNI,5,Morang,Bahuni,50005,Koshi,Eastern,E-KOS-05-005,2810,12180,5649,6531,316.58
5,BAYARBAN,9,Morang,Bayarban,50009,Koshi,Eastern,E-KOS-05-009,4636,20486,9341,11145,447.48
5,BELBARI,10,Morang,Belbari,50010,Koshi,Eastern,E-KOS-05-010,5724,24076,11038,13038,476.5
5,BHOGATENI,12,Morang,Bhogateni,50012,Koshi,Eastern,E-KOS-05-012,1113,5355,2467,2888,73.93
5,BIRATNAGAR SUB METROPOLITAN CITY,13,Morang,BiratnagarN.P.,50013,Koshi,Eastern,E-KOS-05-013,45131,201125,101949,99176,3429.97
5,DARBESHA,19,Morang,Drabesh,50019,Koshi,Eastern,E-KOS-05-019,3639,16652,7819,8833,380.22
5,GOVINDAPUR,21,Morang,Govindapur,50021,Koshi,Eastern,E-KOS-05-021,3375,15586,7570,8016,362.52
5,ITAHARA,27,Morang,Itahara,50027,Koshi,Eastern,E-KOS-05-027,3572,15404,7011,8393,433.63
5,JANTE,28,Morang,Jante,50028,Koshi,Eastern,E-KOS-05-028,1865,8079,3601,4478,102.1
5,JHURKIYA,30,Morang,Jhurkiya,50030,Koshi,Eastern,E-KOS-05-030,2605,11405,5509,5896,412.6
5,DULARI,20,Morang,Dulari,50020,Koshi,Eastern,E-KOS-05-020,3196,14030,6639,7391,817.97
5,HASANDAHA,23,Morang,Hasandaha,50023,Koshi,Eastern,E-KOS-05-023,2530,11324,5210,6114,437.97
5,HATTIMUDHA,24,Morang,Hathimudha,50024,Koshi,Eastern,E-KOS-05-024,2206,10250,5141,5109,530.88
5,HOKLABARI,25,Morang,Hoklabari,50025,Koshi,Eastern,E-KOS-05-025,1121,4830,2281,2549,425.12
5,JHORAHAT,29,Morang,Jhorahat,50029,Koshi,Eastern,E-KOS-05-029,1254,5387,2639,2748,614.39
5,AMAHIBARIYATI,1,Morang,Amahibariyati,50001,Koshi,Eastern,E-KOS-05-001,1432,6329,3085,3244,510.8
5,AMGACHHI,3,Morang,Amgachhi,50003,Koshi,Eastern,E-KOS-05-003,1179,5203,2455,2748,466.9
5,BANIGAMA,7,Morang,Banigama,50007,Koshi,Eastern,E-KOS-05-007,2121,8733,4122,4611,568.5
5,JHAPA BAIJANATHPUR,6,Morang,Baijanathpur,50006,Koshi,Eastern,E-KOS-05-006,1220,5640,2824,2816,675.34
5,BARADANGA,8,Morang,Baradanga,50008,Koshi,Eastern,E-KOS-05-008,2230,11305,5741,5564,500.8
5,WARANGI,65,Morang,Warangi,50065,Koshi,Eastern,E-KOS-05-065,679,3149,1485,1664,72.08
5,BHAUDAHA,11,Morang,Bhaudaha,50011,Koshi,Eastern,E-KOS-05-011,1401,6976,3521,3455,557.45
5,RAMITEKHOLA,49,Morang,Ramitekhola,50049,Koshi,Eastern,E-KOS-05-049,618,3369,1652,1717,72.73
5,SANISCHARE,51,Morang,Sanischare,50051,Koshi,Eastern,E-KOS-05-051,5702,24637,11076,13561,861.38
5,SIMHADEVI,54,Morang,Singhadevi,50054,Koshi,Eastern,E-KOS-05-054,566,2478,1163,1315,76.46
5,BUDDHANAGAR,14,Morang,Budhanagar,50014,Koshi,Eastern,E-KOS-05-014,2699,14166,7189,6977,720.34
5,DADARBAIRIYA,15,Morang,Dadarbairiya,50015,Koshi,Eastern,E-KOS-05-015,1702,8682,4310,4372,521.04
5,DANGIHAT,17,Morang,Dangihat,50017,Koshi,Eastern,E-KOS-05-017,5013,22065,9906,12159,921.78
5,DANGRAHA,18,Morang,Dangraha,50018,Koshi,Eastern,E-KOS-05-018,1313,5450,2626,2824,693.72
5,YANGSHILA,66,Morang,Yangshila,50066,Koshi,Eastern,E-KOS-05-066,1451,6472,2900,3572,122.13
5,RANGELI,50,Morang,Rangeli,50050,Koshi,Eastern,E-KOS-05-050,3169,15532,7797,7735,891.4
5,SIDRAHA,52,Morang,Sidharaha,50052,Koshi,Eastern,E-KOS-05-052,934,3609,1681,1928,498.12
5,SIJUWA,53,Morang,Sijuwa,50053,Koshi,Eastern,E-KOS-05-053,2559,11079,5134,5945,360.84
5,KADAMAHA,33,Morang,Kathamaha,50033,Koshi,Eastern,E-KOS-05-033,1517,8165,4111,4054,614.76
