p_code,hlcit,vdc
C-BAG-23-001,524 2 05 23 5 022,Attarpur
C-BAG-23-002,524 2 05 23 5 044,Bandegaun
C-BAG-23-003,524 2 05 23 5 066,Bansbari
C-BAG-23-004,524 2 05 23 5 054,Banskharka
C-BAG-23-005,524 2 05 23 5 053,Baramchae
C-BAG-23-006,524 2 05 23 5 002,Barhabise
C-BAG-23-007,524 2 05 23 5 070,Baruwa
C-BAG-23-008,524 2 05 23 5 033,Batase
C-BAG-23-009,524 2 05 23 5 045,Bhimtar
C-BAG-23-010,524 2 05 23 5 043,Bhotsipa
C-BAG-23-011,524 2 05 23 5 077,Bhotenamlang
C-BAG-23-012,524 2 05 23 5 063,Bhotechaur
C-BAG-23-013,524 2 05 23 5 016,Chokati
C-BAG-23-014,524 2 05 23 5 035,Chautara
C-BAG-23-015,524 2 05 23 5 008,Dhuyang
C-BAG-23-016,524 2 05 23 5 055,Dubachaur
C-BAG-23-017,524 2 05 23 5 078,Phataksila
C-BAG-23-018,524 2 05 23 5 030,Phulchodanda
C-BAG-23-019,524 2 05 23 5 005,Phulpingkatti
C-BAG-23-020,524 2 05 23 5 049,Phulpingkot
C-BAG-23-021,524 2 05 23 5 003,Gati
C-BAG-23-022,524 2 05 23 5 017,Ghorthali
C-BAG-23-023,524 2 05 23 5 015,Gunsakun
C-BAG-23-024,524 2 05 23 5 031,Golche
C-BAG-23-025,524 2 05 23 5 057,Gumba
C-BAG-23-026,524 2 05 23 5 067,Ghunsakot
C-BAG-23-027,524 2 05 23 5 051,Hagam
C-BAG-23-028,524 2 05 23 5 079,Haibung
C-BAG-23-029,524 2 05 23 5 065,Helambu
C-BAG-23-030,524 2 05 23 5 058,Ichok
C-BAG-23-031,524 2 05 23 5 038,Irkhu
C-BAG-23-032,524 2 05 23 5 050,Jalbire
C-BAG-23-033,524 2 05 23 5 011,Jethal
C-BAG-23-034,524 2 05 23 5 075,Jyamire
C-BAG-23-035,524 2 05 23 5 040,Kadambas
C-BAG-23-036,524 2 05 23 5 019,Kalika
C-BAG-23-037,524 2 05 23 5 001,Karthali
C-BAG-23-038,524 2 05 23 5 073,Kiul
C-BAG-23-039,524 2 05 23 5 037,Kubhinde
C-BAG-23-040,524 2 05 23 5 046,Kunchok
C-BAG-23-041,524 2 05 23 5 076,Lagarche
C-BAG-23-042,524 2 05 23 5 020,Lisangkhu
C-BAG-23-043,524 2 05 23 5 007,Listokot
C-BAG-23-044,524 2 05 23 5 059,Mahangkal
C-BAG-23-045,524 2 05 23 5 009,Maneswar
C-BAG-23-046,524 2 05 23 5 029,Mangkha
C-BAG-23-047,524 2 05 23 5 004,Marming
C-BAG-23-048,524 2 05 23 5 061,Melamchi
C-BAG-23-049,524 2 05 23 5 069,Bhotang
C-BAG-23-050,524 2 05 23 5 048,Nawalpur
C-BAG-23-051,524 2 05 23 5 027,Pangretar
C-BAG-23-052,524 2 05 23 5 056,Palchok
C-BAG-23-053,524 2 05 23 5 072,Pangtang
C-BAG-23-054,524 2 05 23 5 010,Pedku
C-BAG-23-055,524 2 05 23 5 036,Pipaldanda
C-BAG-23-056,524 2 05 23 5 014,Piskar
C-BAG-23-057,524 2 05 23 5 028,Ramche
C-BAG-23-058,524 2 05 23 5 042,Sangachok
C-BAG-23-059,524 2 05 23 5 039,Sanusirubari
C-BAG-23-060,524 2 05 23 5 032,Selang
C-BAG-23-061,524 2 05 23 5 074,Shikharpur
C-BAG-23-062,524 2 05 23 5 062,Sindhukot
C-BAG-23-063,524 2 05 23 5 052,Sipapokharae
C-BAG-23-064,524 2 05 23 5 047,Sinpal Kavre
C-BAG-23-065,524 2 05 23 5 023,Sunkhani
C-BAG-23-066,524 2 05 23 5 034,Syaule
C-BAG-23-067,524 2 05 23 5 060,Talamarang
C-BAG-23-068,524 2 05 23 5 006,Tatopani
C-BAG-23-069,524 2 05 23 5 013,Tauthali
C-BAG-23-070,524 2 05 23 5 012,Tekanpur
C-BAG-23-071,524 2 05 23 5 071,Thakani
C-BAG-23-072,524 2 05 23 5 064,Ghuyang (Thanpalchap)
C-BAG-23-073,524 2 05 23 5 068,Thapalkot
C-BAG-23-074,524 2 05 23 5 018,Thokarpa
C-BAG-23-075,524 2 05 23 5 021,Thulo Dhading
C-BAG-23-076,524 2 05 23 5 025,Thulo Pakhar
C-BAG-23-077,524 2 05 23 5 041,Thulo Sirubari
C-BAG-23-078,524 2 05 23 5 026,Thumpakhar
C-BAG-23-079,524 2 05 23 5 024,Yamuna Danda
C-BAG-24-001,524 2 05 24 5 067,Anekot
C-BAG-24-002,524 2 05 24 5 051,Balthali
C-BAG-24-003,524 2 05 24 5 021,Walting
C-BAG-24-004,524 2 05 24 5 059,Baluwa Pati Naldhun
C-BAG-24-005,524 2 05 24 5 026,Wanakhu
C-BAG-24-006,524 2 05 24 3 003,Banepa Municipality
C-BAG-24-007,524 2 05 24 5 086,Bekhsimle Ghartigaon
C-BAG-24-008,524 2 05 24 5 025,Bhimkhori
C-BAG-24-009,524 2 05 24 5 075,Bhumlutar
C-BAG-24-010,524 2 05 24 5 003,Birtadeurali
C-BAG-24-011,524 2 05 24 5 011,Boldephadiche
C-BAG-24-012,524 2 05 24 5 027,Budhakhani
C-BAG-24-013,524 2 05 24 5 047,Chalalganeshsthan
C-BAG-24-014,524 2 05 24 5 068,Chandeni Mandan
C-BAG-24-015,524 2 05 24 5 076,Chaubas
C-BAG-24-016,524 2 05 24 5 052,Chyamrangbesi
C-BAG-24-017,524 2 05 24 5 053,Chyasingkharka
C-BAG-24-018,524 2 05 24 5 046,Dandagaun
C-BAG-24-019,524 2 05 24 5 035,Dapcha Chatraebangha
C-BAG-24-020,524 2 05 24 5 037,Daraunepokhari
C-BAG-24-021,524 2 05 24 5 077,Baluwadeubhumi
C-BAG-24-022,524 2 05 24 5 069,Devitar
C-BAG-24-023,524 2 05 24 3 001,Dhulikhel Municipality
C-BAG-24-024,524 2 05 24 5 054,Dhungkharka Bahrabisae
C-BAG-24-025,524 2 05 24 5 004,Ghusenisiwalaye
C-BAG-24-026,524 2 05 24 5 078,Dolalghat
C-BAG-24-027,524 2 05 24 5 082,Phalete
C-BAG-24-028,524 2 05 24 5 048,Phalametar
C-BAG-24-029,524 2 05 24 5 002,Phoksingtar
C-BAG-24-030,524 2 05 24 5 060,Gairi Bisauna Deupur
C-BAG-24-031,524 2 05 24 5 028,Ghartichhap
C-BAG-24-032,524 2 05 24 5 029,Gokule
C-BAG-24-033,524 2 05 24 5 005,Gotpani
C-BAG-24-034,524 2 05 24 5 079,Hoksebazar
C-BAG-24-035,524 2 05 24 5 070,Jaisithok Mandan
C-BAG-24-036,524 2 05 24 5 071,Jyamdi Mandan
C-BAG-24-037,524 2 05 24 5 063,Kapali Bhumaedanda
C-BAG-24-038,524 2 05 24 5 013,Kanpur Kalapani
C-BAG-24-039,524 2 05 24 5 006,Kattike Deurali
C-BAG-24-040,524 2 05 24 5 014,Katunjebesi
C-BAG-24-041,524 2 05 24 5 038,Kabhrenitya Chandeshwari
C-BAG-24-042,524 2 05 24 5 030,Khaharepangu
C-BAG-24-043,524 2 05 24 5 036,Dapcha Khanalthok
C-BAG-24-044,524 2 05 24 5 081,Kharelthok
C-BAG-24-045,524 2 05 24 5 022,Kharpachok
C-BAG-24-046,524 2 05 24 5 074,Kolanti
C-BAG-24-047,524 2 05 24 5 080,Koshidekha
C-BAG-24-048,524 2 05 24 5 012,Kuruwas Chapakhori
C-BAG-24-049,524 2 05 24 5 062,Kushadevi
C-BAG-24-050,524 2 05 24 5 015,Mechchhe
C-BAG-24-051,524 2 05 24 5 007,Madankundari
C-BAG-24-052,524 2 05 24 5 072,Mahadevsthan Mandan
C-BAG-24-053,524 2 05 24 5 031,Mahadevtar
C-BAG-24-054,524 2 05 24 5 032,Bhugdeu Mahankalchaur
C-BAG-24-055,524 2 05 24 5 065,Mahendrajyoti Bansdol
C-BAG-24-056,524 2 05 24 5 008,Majhipheda
C-BAG-24-057,524 2 05 24 5 023,Mangaltar
C-BAG-24-058,524 2 05 24 5 039,Mathurapati Phulbari
C-BAG-24-059,524 2 05 24 5 016,Methinkot
C-BAG-24-060,524 2 05 24 5 045,Milche
C-BAG-24-061,524 2 05 24 5 009,Nangregagarche
C-BAG-24-062,524 2 05 24 5 055,Ugrachandinala
C-BAG-24-063,524 2 05 24 5 056,Nasikasthan Sanga
C-BAG-24-064,524 2 05 24 5 061,Naya Gaun Deupur
C-BAG-24-065,524 2 05 24 3 002,Panauti Municipality
C-BAG-24-066,524 2 05 24 5 073,Panchkhal
C-BAG-24-067,524 2 05 24 5 040,Patlekhet
C-BAG-24-068,524 2 05 24 5 042,Chauri Pokhari
C-BAG-24-069,524 2 05 24 5 017,Pokhari Narayansthan
C-BAG-24-070,524 2 05 24 5 041,Purana Gaun Pokhari
C-BAG-24-071,524 2 05 24 5 066,Rabiopi
C-BAG-24-072,524 2 05 24 5 064,Ryale Bihawar
C-BAG-24-073,524 2 05 24 5 049,Saldhara
C-BAG-24-074,524 2 05 24 5 083,Salle Blullu
C-BAG-24-075,524 2 05 24 5 050,Salme Taldhunga
C-BAG-24-076,524 2 05 24 5 018,Sangkhupatichaur
C-BAG-24-077,524 2 05 24 5 010,Sanuwangthali
C-BAG-24-078,524 2 05 24 5 084,Saping
C-BAG-24-079,524 2 05 24 5 043,Sharada (Batase)
C-BAG-24-080,524 2 05 24 5 019,Sarmathali
C-BAG-24-081,524 2 05 24 5 001,Sarsyunkharka
C-BAG-24-082,524 2 05 24 5 085,Sathigharbhagawati
C-BAG-24-083,524 2 05 24 5 033,Shikhar Ambote
C-BAG-24-084,524 2 05 24 5 044,Syampati Simalchaur
C-BAG-24-085,524 2 05 24 5 087,Simthali
C-BAG-24-086,524 2 05 24 5 024,Sipali Chilaune
C-BAG-24-087,524 2 05 24 5 034,Sisakhani
C-BAG-24-088,524 2 05 24 5 020,Thulo Parsel
C-BAG-24-089,524 2 05 24 5 057,Tukuchanala
C-BAG-24-090,524 2 05 24 5 058,Ugratara Janagal
C-BAG-25-001,524 2 05 25 5 014,Asrang
C-BAG-25-002,524 2 05 25 5 023,Badikhel
C-BAG-25-003,524 2 05 25 5 008,Bhardeu
C-BAG-25-004,524 2 05 25 5 001,Bhattedanda
C-BAG-25-005,524 2 05 25 5 027,Bisangkhunarayan
C-BAG-25-006,524 2 05 25 5 009,Bukhel
C-BAG-25-007,524 2 05 25 5 038,Bungmati
C-BAG-25-008,524 2 05 25 5 015,Chandanpur
C-BAG-25-009,524 2 05 25 5 022,Chapagaun
C-BAG-25-010,524 2 05 25 5 021,Chhampi
C-BAG-25-011,524 2 05 25 5 010,Chaughare
C-BAG-25-012,524 2 05 25 5 002,Dahachok
C-BAG-25-013,524 2 05 25 5 041,Devichaur
C-BAG-25-014,524 2 05 25 5 040,Dhapakhel
C-BAG-25-015,524 2 05 25 5 003,Ghusel
C-BAG-25-016,524 2 05 25 5 020,Dukuchhap
C-BAG-25-017,524 2 05 25 5 016,Gimdi
C-BAG-25-018,524 2 05 25 5 026,Godamchaur
C-BAG-25-019,524 2 05 25 5 025,Godawari
C-BAG-25-020,524 2 05 25 5 017,Gotikhel
C-BAG-25-021,524 2 05 25 5 037,Harisiddhi
C-BAG-25-022,524 2 05 25 5 011,Ikudol
C-BAG-25-023,524 2 05 25 5 032,Imadol
C-BAG-25-024,524 2 05 25 5 024,Jharuwarasi
C-BAG-25-025,524 2 05 25 5 018,Kaleshwar
C-BAG-25-026,524 2 05 25 5 034,Khokana
C-BAG-25-027,524 2 05 25 2 001,Lalitpur Sub Metropolitan
C-BAG-25-028,524 2 05 25 5 028,Lamatar
C-BAG-25-029,524 2 05 25 5 004,Lele
C-BAG-25-030,524 2 05 25 5 029,Lubhu
