"","p_code","vdc","hazard","exposure","housing","poverty","vulnerability","severity","sev_norm","sev_cat","hlcit"
"1","C-BAG-27-031","Kathmandu Metropolitan",2.170716589,10,8.863975701,1.816239316,5.340107508,4.875857919,10,"Highest",NA
"2","C-BAG-25-027","Lalitpur Sub Metropolitan",1.720360572,2.263584201,8.404832734,0.818070818,4.611451776,2.618693089,5.370732972,"Highest",NA
"3","C-NAR-35-005","Bharatpur Municipality",2.208868341,1.474555924,5.37928052,2.533577534,3.956429027,2.344470754,4.808324592,"Highest",NA
"4","C-BAG-26-012","Madhyapur Thimi Municipality",2.44879243,0.851255776,8.226716181,0.894383394,4.560549788,2.118408688,4.344689127,"Highest",NA
"5","C-BAG-27-028","Jorpati",1.909456971,0.866951047,8.863975701,1.816239316,5.340107508,2.067687096,4.240663142,"Highest",524205275012
"6","C-BAG-26-003","Bhaktapur Municipality",1.817828592,0.838051654,8.226716181,0.894383394,4.560549788,1.908154956,3.913475305,"Highest",NA
"7","W-GAN-36-050","Prithbinarayan Municipality",3.480341977,0.332901739,6.441465148,5.213675214,5.827570181,1.890058147,3.876360178,"Highest",NA
"8","C-JAN-20-025","Kamalami Municipality",2.537994325,0.40404817,5.191504838,6.547619048,5.869561943,1.819043817,3.730715389,"Highest",NA
"9","C-JAN-20-026","Kapilakot",8.019007365,0.117740168,5.191504838,6.547619048,5.869561943,1.769634804,3.6293814,"Highest",524204205040
"10","C-BAG-27-033","Kirtipur Municipality",1.34731891,0.672528559,8.863975701,1.816239316,5.340107508,1.69138982,3.468907109,"Highest",NA
"11","C-BAG-27-022","Gonggabu",1.617594448,0.557792123,8.863975701,1.816239316,5.340107508,1.689003988,3.464013957,"Highest",524205275028
"12","C-BAG-27-030","Kapan",1.710453256,0.496825577,8.863975701,1.816239316,5.340107508,1.655598606,3.395502154,"Highest",524205275017
"13","C-BAG-24-065","Panauti Municipality",3.297377371,0.280464564,6.45603317,3.308913309,4.88247324,1.652832487,3.389829061,"Highest",NA
