"","vdc","vdc_deg"
"Timure","Timure",0
"Briddim","Briddim",0
"Thulo Gaun","Thulo Gaun",0
"Jharlang","Jharlang",0
"Siddhipur","Siddhipur",0
"Syaphru","Syaphru",0
"Laprak","Laprak",0
"Gumda","Gumda",0
"Mulpani","Mulpani",0
"Phulkharka","Phulkharka",0
"Bakrang","Bakrang",0
"Chhoprak","Chhoprak",0
"Deurali","Deurali",0
"Gangkhu","Gangkhu",0
"Ghyachok","Ghyachok",0
"Khoplang","Khoplang",0
"Sairpani","Sairpani",0
"Simjung","Simjung",0
"Virkot","Virkot",0
"Warpak","Warpak",0
"Bhorletar","Bhorletar",0
"Bichaur","Bichaur",0
"Elampokhari","Elampokhari",0
"Gauda","Gauda",0
"Isaneshwar","Isaneshwar",0
"Pachok","Pachok",0
"Ramgha","Ramgha",0
"Banskharka","Banskharka",0
"Baruwa","Baruwa",0
"Bhotang","Bhotang",0
"Dubachaur","Dubachaur",0
"Lagarche","Lagarche",0
"Sindhukot","Sindhukot",0
"Chhaling","Chhaling",0
"Chitapol","Chitapol",0
"Jhaukhel","Jhaukhel",0
"Bhaktapur Municipality","Bhaktapur Municipality",0
"Tipling","Tipling",0
"Bulung","Bulung",0
"Bhimeswor Municipality","Bhimeswor Municipality",0
"Laduk","Laduk",0
"Chalalganeshsthan","Chalalganeshsthan",0
"Kharelthok","Kharelthok",0
"Panchkhal","Panchkhal",0
"Balthali","Balthali",0
"Chyasingkharka","Chyasingkharka",0
"Chandeni Mandan","Chandeni Mandan",0
"Milche","Milche",0
"Panauti Municipality","Panauti Municipality",0
"Nasikasthan Sanga","Nasikasthan Sanga",0
"Ghartichhap","Ghartichhap",0
"Dhulikhel Municipality","Dhulikhel Municipality",0
"Phoksingtar","Phoksingtar",0
"Dolalghat","Dolalghat",0
"Syampati Simalchaur","Syampati Simalchaur",0
"Rabiopi","Rabiopi",0
"Saldhara","Saldhara",0
"Gokule","Gokule",0
"Patlekhet","Patlekhet",0
"Phalametar","Phalametar",0
"Dandagaun","Dandagaun",0
"Kushadevi","Kushadevi",0
"Tokhachandeshwari","Tokhachandeshwari",0
"Goldhunga","Goldhunga",0
"Kathmandu Metropolitan","Kathmandu Metropolitan",0
"Ichangunarayan","Ichangunarayan",0
"Alapot","Alapot",0
"Jitpur Phedi","Jitpur Phedi",0
"Dhapasi","Dhapasi",0
"Gongabu","Gongabu",0
"Balambu","Balambu",0
"Mahadevsthan","Mahadevsthan",0
"Kirtipur Municipality","Kirtipur Municipality",0
"Ramkot","Ramkot",0
"Badbhanjyang","Badbhanjyang",0
"Machchhegaun","Machchhegaun",264
"Lele","Lele",139
"Lalitpur Sub Metropolitan","Lalitpur Sub Metropolitan",49
"Dhapakhel","Dhapakhel",264
"Godawari","Godawari",259
"Sangkhu","Sangkhu",242
"Harisiddhi","Harisiddhi",188
"Chapagaun","Chapagaun",171
"Godamchaur","Godamchaur",125
"Lubhu","Lubhu",26
"Lamatar","Lamatar",64
"Bisangkhunarayan","Bisangkhunarayan",305
"Thaiba","Thaiba",284
"Bhartapunyadevi","Bhartapunyadevi",214
"Raksirang","Raksirang",129
"Kangkada","Kangkada",85
"Gerkhu","Gerkhu",115
"Duipipal","Duipipal",169
"Jiling","Jiling",224
"Barsunchet","Barsunchet",52
"Phedighooth","Phedighooth",26
"Ratmate","Ratmate",31
"Pokhare","Pokhare",26
"Kuebhire","Kuebhire",66
"Ragani","Ragani",26
"Katunje","Katunje",26
"Phulbari","Phulbari",26
"Khijichandeshwori","Khijichandeshwori",26
"Khijikaanthi","Khijikaanthi",197
"Ranibaan","Ranibaan",114
"Pokali","Pokali",49
"Narmadeshwor","Narmadeshwor",164
"Tarkerabari","Tarkerabari",44
"Singhadevi","Singhadevi",329
"Yesham","Yesham",99
"Gamnangtar","Gamnangtar",200
"Jantarkhani","Jantarkhani",400
"Pingkhuri","Pingkhuri",99
"Dadhuwa","Dadhuwa",389
"Chanakhu","Chanakhu",432
"Laharepauwa","Laharepauwa",216
"Yarsa","Yarsa",288
"Hariharpurgadhi","Hariharpurgadhi",99
"Pipalmadi","Pipalmadi",346
"Mahendrajhyadi","Mahendrajhyadi",288
"Bastipur","Bastipur",288
"Amale","Amale",99
"Baseshwar","Baseshwar",219
"Hatpate","Hatpate",347
"Tamajor","Tamajor",99
"Netrakali","Netrakali",190
"Shanteshwari Rampur","Shanteshwari Rampur",243
"Phulpingkatti","Phulpingkatti",99
"Thokarpa","Thokarpa",272
"Sunkhani","Sunkhani",99
"Lisangkhu","Lisangkhu",356
"Aginchok","Aginchok",118
"Asrang","Asrang",99
"Barhabise","Barhabise",105
"Bhirkot","Bhirkot",272
"Borlang","Borlang",99
"Dhawa","Dhawa",289
"Jogimara","Jogimara",99
"Kumpur","Kumpur",133
"Manbu","Manbu",438
"Marpak","Marpak",99
"Nagarkot","Nagarkot",196
"Salyankot","Salyankot",103
"Selang","Selang",129
"Swara","Swara",216
"Tandrang","Tandrang",154
"Tekanpur","Tekanpur",314
"Jyamruck","Jyamruck",424
"Salyan Tar","Salyan Tar",326
"Aaruaarbad","Aaruaarbad",196
"Arupokhari","Arupokhari",188
"Thumo","Thumo",346
"Nanglebhare","Nanglebhare",397
"Golche","Golche",118
"Pangretar","Pangretar",346
"Thulo Pakhar","Thulo Pakhar",264
"Ghunsakot","Ghunsakot",177
"Jiwanpur","Jiwanpur",353
"Jiri","Jiri",100
"Gairimudi","Gairimudi",417
"Hawa","Hawa",276
"Japhe","Japhe",101
"Jhule","Jhule",137
"Malu","Malu",99
"Mirge","Mirge",202
"Chilangkha","Chilangkha",99
"Arunthakur","Arunthakur",133
"Bahuntilpung","Bahuntilpung",115
"Balajor","Balajor",99
"Jarayotar","Jarayotar",102
"Ratnawati","Ratnawati",209
"Bitijor Bagaincha","Bitijor Bagaincha",283
"Kakur Thakur","Kakur Thakur",209
"Mahadevdanda","Mahadevdanda",209
"Tosarangkhola","Tosarangkhola",214
"Talamarang","Talamarang",304
"Taple","Taple",99
"Hansapur","Hansapur",111
"Bungkot","Bungkot",214
"Gaikhur","Gaikhur",209
"Thalajung","Thalajung",209
"Amppipal","Amppipal",209
"Palungtar","Palungtar",232
"Chyangling","Chyangling",209
"Satyadevi","Satyadevi",209
"Ghyalchok","Ghyalchok",209
"Manakamana","Manakamana",209
"Namjung","Namjung",272
"Mumlichok","Mumlichok",279
"Kerabari","Kerabari",292
"Kharibot","Kharibot",287
"Lho","Lho",185
"Prok","Prok",289
"Dhamilikuwa","Dhamilikuwa",272
"Pyarjung","Pyarjung",317
"Tarkughat","Tarkughat",135
"Mohariyakot","Mohariyakot",118
"Alambu","Alambu",322
"Bigu","Bigu",99
"Babare","Babare",118
"Kalinchok","Kalinchok",135
"Khopachagu","Khopachagu",135
"Lamidanda","Lamidanda",106
"Mahendrajyoti Bansdol","Mahendrajyoti Bansdol",106
"Chandibhanjyang","Chandibhanjyang",347
"Dahakhani","Dahakhani",202
"Nilkanth","Nilkanth",222
"Kabre","Kabre",125
"Gaurishankar","Gaurishankar",121
"Naya Gaun Deupur","Naya Gaun Deupur",182
"Daraunepokhari","Daraunepokhari",34
"Jyamdi Mandan","Jyamdi Mandan",309
"Ghusenisiwalaye","Ghusenisiwalaye",30
